Smiles                                                       G4_Cv      Exp_Cv     Dev       
CC(=O)OC(C)(C)C                                              155.66     147.30     8.36      
CC(=O)OC(C)=O                                                115.13     96.80      18.33     
CC(=O)OC=C                                                   99.39      90.80      8.59      
CC(Br)=C                                                     69.61      69.90      -0.29     
CC(Br)Br                                                     70.23      71.60      -1.37     
CC(Br)CBr                                                    93.66      94.70      -1.04     
CC(C)(C)Br                                                   102.50     108.20     -5.70     
CC(C)(C)C                                                    109.39     112.40     -3.01     
CC(C)(C)C#C                                                  120.06     115.20     4.86      
CC(C)(C)C#N                                                  111.29     116.20     -4.91     
CC(C)(C)C(=O)C(C)(C)C                                        209.48     207.70     1.78      
CC(C)(C)C(C)(C)C                                             178.99     180.80     -1.81     
CC(C)(C)C=C                                                  124.27     118.20     6.07      
CC(C)(C)C=O                                                  117.05     116.00     1.05      
CC(C)(C)CBr                                                  125.16     125.80     -0.64     
CC(C)(C)CC#C                                                 142.24     144.10     -1.86     
CC(C)(C)CC(C)(C)C                                            201.10     203.69     -2.58     
CC(C)(C)CO                                                   127.20     125.20     2.00      
CC(C)(C)Cl                                                   100.78     104.40     -3.62     
CC(C)(C)F                                                    97.61      101.00     -3.39     
CC(C)(C)N                                                    108.20     112.10     -3.90     
CC(C)(C)O                                                    105.83     105.40     0.43      
CC(C)(C)OC(C)(C)C                                            197.53     196.69     0.84      
CC(C)(C)OC=O                                                 132.26     125.20     7.06      
CC(C)(C)OO                                                   124.51     124.20     0.31      
CC(C)(C)S                                                    111.46     114.10     -2.64     
CC(C)(CO)CO                                                  144.15     139.20     4.95      
CC(C)(Cl)Cl                                                  92.19      97.40      -5.21     
CC(C)=C                                                      76.81      79.80      -2.99     
CC(C)=C(C)C                                                  124.85     116.70     8.15      
CC(C)=C=O                                                    84.05      86.80      -2.75     
CC(C)=CC(C)(C)C                                              170.37     171.30     -0.93     
CC(C)=CC(C)=O                                                129.57     140.50     -10.93    
CC(C)=CC=C                                                   113.91     114.90     -0.99     
CC(C)=O                                                      70.68      66.20      4.48      
CC(C)Br                                                      77.50      80.60      -3.10     
CC(C)C                                                       84.87      88.40      -3.53     
CC(C)C#C                                                     95.23      98.69      -3.46     
CC(C)C#N                                                     86.42      90.90      -4.48     
CC(C)C(=C)C(C)C                                              167.52     169.90     -2.38     
CC(C)C(=O)C(C)C                                              161.00     141.20     19.80     
CC(C)C(C)(C)C                                                155.30     154.50     0.80      
CC(C)C(C)(C)C(C)C                                            200.82     208.69     -7.86     
CC(C)C(C)(C)C=C                                              169.78     169.60     0.18      
CC(C)C(C)=C                                                  122.78     126.20     -3.42     
CC(C)C(C)=C(C)C                                              170.17     166.30     3.87      
CC(C)C(C)=O                                                  116.12     104.20     11.92     
