Smiles                                                       G4_Cv      Exp_Cv     Dev       
FC(F)=CCl                                                    63.73      63.80      -0.07     
FC(F)=O                                                      38.63      38.80      -0.16     
FC(F)Br                                                      49.82      50.00      -0.18     
FC(F)C(F)(F)F                                                88.09      86.10      1.99      
FC(F)C(F)C(F)(F)F                                            121.11     116.00     5.11      
FC(F)C(F)F                                                   77.39      82.00      -4.61     
FC(F)CC(F)(F)F                                               110.14     107.40     2.74      
FC(F)Cl                                                      47.79      48.20      -0.41     
FC(F)F                                                       42.36      43.20      -0.84     
FC=C                                                         41.12      42.10      -0.98     
FC=C(F)F                                                     60.83      60.90      -0.07     
FCC(Cl)(Cl)Cl                                                93.74      92.60      1.14      
FCC(F)(F)C(F)F                                               112.05     107.10     4.95      
FCC(F)(F)F                                                   78.34      77.80      0.54      
FCC(F)F                                                      67.66      68.60      -0.94     
FCC=C                                                        63.32      62.00      1.32      
FCCF                                                         58.06      59.40      -1.34     
FCCl                                                         38.69      38.70      -0.01     
FCF                                                          34.12      34.60      -0.48     
FN(F)N(F)F                                                   77.36      70.69      6.67      
FNF                                                          34.45      35.80      -1.35     
FOF                                                          33.71      34.69      -0.98     
FOOF                                                         52.23      53.69      -1.45     
F[S](F)(=O)=O                                                58.65      57.69      0.97      
F[S](F)=O                                                    49.23      47.69      1.54      
F\C=C\F                                                      51.57      49.69      1.88      
N                                                            26.43      26.69      -0.26     
N#CCC#N                                                      64.69      63.30      1.39      
N=C=S                                                        42.68      38.50      4.18      
NC(=O)C=C                                                    83.23      73.70      9.53      
NC(N)=O                                                      64.92      63.90      1.02      
NC(N)=S                                                      71.07      65.90      5.17      
NC=O                                                         46.38      36.80      9.58      
NCC(F)(F)F                                                   89.24      69.00      20.24     
NCC(O)=O                                                     80.82      78.20      2.62      
NCC=C                                                        74.50      77.69      -3.18     
NCCCN                                                        101.16     106.40     -5.24     
NCCCO                                                        94.17      98.70      -4.53     
NCCN                                                         79.26      82.90      -3.64     
NCCO                                                         76.26      77.20      -0.94     
NN                                                           38.14      40.60      -2.46     
NO                                                           35.94      38.40      -2.46     
O                                                            25.11      25.30      -0.19     
O=C(O)C(=O)O                                                 80.02      76.69      3.33      
O=C(O)CO                                                     76.33      76.69      -0.35     
O=C=O                                                        28.41      28.90      -0.49     
O=CC=O                                                       53.60      52.20      1.40      
O=CCC=O                                                      76.38      66.95      9.43      
O=[S](=O)=O                                                  42.63      41.69      0.94      
OBr                                                          29.79      27.69      2.10      
OC(=O)C(F)(F)F                                               90.02      85.70      4.32      
OC(CCl)CCl                                                   105.35     103.90     1.45      
OC=O                                                         38.05      37.40      0.65      
OCC#C                                                        67.16      64.50      2.66      
OCC(CO)(CO)CO                                                180.02     164.69     15.33     
OCC(Cl)CCl                                                   105.21     102.90     2.31      
OCC(O)CCl                                                    108.60     105.70     2.90      
OCC(O)CO                                                     108.67     106.60     2.07      
OCCC#N                                                       80.71      76.30      4.41      
OCCCO                                                        92.09      91.80      0.29      
OCCCl                                                        69.09      67.60      1.49      
OCCO                                                         72.35      74.40      -2.05     
OCCS                                                         78.47      77.30      1.17      
OCl                                                          28.78      28.90      -0.12     
ON=O                                                         37.09      37.50      -0.41     
OO                                                           34.83      34.50      0.33      
O[Cl](=O)(=O)=O                                              66.66      64.90      1.76      
O[S](O)(=O)=O                                                76.67      76.00      0.67      
S                                                            25.77      25.90      -0.13     
S=C=S                                                        34.87      37.20      -2.33     
SCCS                                                         87.43      85.50      1.93      
[CH2]=[C]=[CH2]                                              49.14      50.80      -1.66     
[nH]1cccc1                                                   62.87      63.20      -0.33     
[nH]1cccn1                                                   56.31      69.90      -13.59    
c1ccccc1                                                     72.89      74.20      -1.31     
c1ccncc1                                                     68.16      69.60      -1.44     
c1ccnnc1                                                     65.59      72.50      -6.91     
c1cnccn1                                                     64.21      78.90      -14.69    
c1cncnc1                                                     64.18      57.20      6.98      
o1cccc1                                                      56.73      57.10      -0.37     
o1cccn1                                                      52.03      51.30      0.73      
o1ccnc1                                                      51.19      52.20      -1.01     
s1cccc1                                                      64.07      64.50      -0.43     
s1ccnc1                                                      59.11      59.80      -0.69     
s1cnnc1                                                      55.40      51.60      3.80      
FS(F)(F)F                                                    67.53      68.69      -1.15     
FS(F)(F)(F)(F)F                                              90.36      88.69      1.67      
Brc1ccccc1                                                   90.58      91.20      -0.62     
C/C=C/C=C/C                                                  113.41     117.50     -4.09     
C/C=C/C=C\C                                                  113.41     109.20     4.21      
C=C1CC(=O)O1                                                 78.29      78.20      0.09      
C=C1CC1                                                      63.60      64.62      -1.02     
C=C1CCC1                                                     78.86      79.09      -0.23     
C=C1CCCC1                                                    94.75      93.82      0.93      
C=CC1CCC=CC1                                                 129.29     128.69     0.61      
C=CCCC=C                                                     113.67     110.90     2.77      
C=Cc1ccccc1                                                  112.07     117.10     -5.03     
CC(=C)[C@@H]1CCC(=CC1)C                                      176.20     179.69     -3.49     
CC(=C)c1ccccc1                                               134.64     132.30     2.34      
CC(=O)c1ccccc1                                               126.85     104.30     22.55     
CC(C)(C)OOC(C)(C)C                                           217.28     210.91     6.37      
CC(C)(C)SSC(C)(C)C                                           229.28     234.50     -5.22     
CC(C)(C)c1ccccc1                                             167.24     168.70     -1.46     
CC(C)(O)c1ccccc1                                             163.56     156.69     6.87      
CC(C)C1CCCCC1                                                165.94     170.69     -4.74     
CC(C)CC(=O)CC(C)C                                            205.65     207.70     -2.05     
CC(C)CCC(C)C                                                 175.51     176.60     -1.09     
CC(C)CCC=C                                                   144.23     146.50     -2.27     
CC(C)CCSCCC(C)C                                              245.02     243.69     1.33      
CC(C)Cc1ccccc1                                               165.26     164.69     0.57      
CC(C)c1ccc(C)c(O)c1                                          187.78     186.40     1.38      
CC(C)c1ccc(C)cc1O                                            187.51     185.69     1.82      
CC(C)c1ccccc1                                                143.18     146.40     -3.22     
CC(C)c1ccccc1O                                               162.36     161.80     0.56      
CC(OC(C)=O)OC(C)=O                                           174.64     148.69     25.95     
CC/C=C(C)/CC                                                 144.72     143.69     1.03      
CC/C=C/C(C)(C)C                                              168.84     165.69     3.15      
CC1(C)CC1                                                    93.99      98.70      -4.71     
CC1(C)CCCC1                                                  127.27     128.60     -1.33     
CC1(C)CCCCC1                                                 145.21     148.30     -3.09     
CC1=CC(=O)OC1=O                                              103.28     98.20      5.08      
CC1=CC1                                                      66.40      66.37      0.04      
CC1=CC=CC1                                                   90.94      93.80      -2.86     
CC1=CCCC1                                                    96.74      92.20      4.54      
CC1CC(C)C(C)C1                                               149.46     153.69     -4.22     
CC1CC(C)CC(C)C1                                              168.18     171.69     -3.51     
CC1CC1                                                       69.86      73.90      -4.04     
CC1CC1(C)C                                                   117.49     117.10     0.39      
CC1CC1C                                                      93.14      96.69      -3.54     
CC1CC=CC1                                                    95.58      91.50      4.08      
CC1CC=CC1C                                                   119.31     120.69     -1.37     
CC1CCC(=C1)C                                                 120.21     120.69     -0.48     
CC1CCC(C)CC1                                                 144.24     146.69     -2.45     
CC1CCC(O)CC1                                                 139.40     141.69     -2.29     
CC1CCC1                                                      85.78      85.10      0.68      
CC1CCC=C1                                                    95.70      91.50      4.20      
CC1CCC=C1C                                                   120.06     120.69     -0.62     
CC1CCCC1                                                     102.52     101.30     1.22      
CC1CCCCC1                                                    120.53     127.20     -6.67     
CC1CCCCC1O                                                   139.31     141.69     -2.38     
CC1CCCO1                                                     95.80      92.30      3.50      
CC1CCCS1                                                     103.57     105.70     -2.13     
CC1CCC[C@@H](O)C1                                            138.52     141.69     -3.16     
CC1CN1                                                       65.90      70.69      -4.79     
CC1CO1                                                       62.65      63.69      -1.04     
CC1COC(=O)O1                                                 93.63      99.29      -5.66     
CC1C[C@H](C)[C@H](C)C1                                       149.46     150.80     -1.34     
CC1OC(C)OC(C)O1                                              148.86     140.50     8.36      
CCC(=O)OC(=O)CC                                              159.85     142.69     17.16     
CCC(C)C(C)CC                                                 175.93     173.40     2.53      
CCC(C)CC(C)C                                                 175.67     183.60     -7.93     
CCC(C)OC(C)CC                                                192.71     189.69     3.02      
CCC/C=C/CCC                                                  165.70     168.69     -2.99     
CCC1=CCCC1                                                   118.82     118.69     0.13      
CCC1CCC1                                                     108.06     108.10     -0.04     
CCC1CCCC1                                                    124.88     125.20     -0.32     
CCC1CCCCC1                                                   143.10     153.30     -10.20    
CCCC(=O)CC                                                   138.13     142.69     -4.56     
CCCC(C)(C)CC                                                 177.26     181.90     -4.64     
CCCC(C)C(C)C                                                 175.71     175.80     -0.09     
CCCC(C)CCC                                                   175.30     178.10     -2.80     
CCCC(CC)CC                                                   174.78     180.90     -6.12     
CCCC1CCCC1                                                   146.92     146.50     0.42      
CCCC1CCCCC1                                                  165.47     180.69     -15.21    
CCCCC#N                                                      107.82     113.60     -5.78     
CCCCC(=O)CCCC                                                205.11     211.70     -6.59     
CCCCC(=O)OC                                                  150.76     149.00     1.76      
CCCCC(C)(C)C                                                 177.24     179.40     -2.16     
CCCCC(C)=O                                                   137.77     141.20     -3.43     
CCCCC(C)C                                                    152.71     155.80     -3.09     
CCCCC(C)CC                                                   175.22     176.90     -1.68     
CCCCC(C)CCCC                                                 219.96     222.69     -2.73     
CCCCC(CC)C=O                                                 182.20     174.69     7.51      
CCCCC(CC)CO                                                  191.87     191.69     0.18      
CCCCC(O)=O                                                   127.06     129.70     -2.64     
CCCCC=C                                                      121.75     126.20     -4.45     
CCCCC=O                                                      113.90     115.69     -1.79     
CCCCCBr                                                      122.26     123.80     -1.54     
CCCCCC                                                       129.78     133.90     -4.12     
CCCCCC(=O)OC                                                 173.67     173.50     0.17      
CCCCCC(C)C                                                   175.04     178.50     -3.46     
CCCCCC(O)=O                                                  149.94     152.80     -2.86     
CCCCCC=C                                                     144.10     131.20     12.90     
CCCCCCBr                                                     144.60     149.00     -4.40     
CCCCCCC                                                      152.13     156.50     -4.37     
CCCCCCC(O)=O                                                 172.28     176.20     -3.92     
CCCCCCC=C                                                    166.41     172.40     -5.99     
CCCCCCC=O                                                    158.24     164.69     -6.44     
CCCCCCCC                                                     174.46     179.20     -4.74     
CCCCCCCC(=O)OC                                               218.35     219.30     -0.95     
CCCCCCCC(C)=O                                                205.29     205.69     -0.39     
CCCCCCCC(C)C                                                 219.69     223.60     -3.91     
CCCCCCCC(O)=O                                                194.62     198.20     -3.58     
CCCCCCCCBr                                                   188.90     194.80     -5.90     
CCCCCCCCC                                                    196.80     201.60     -4.80     
CCCCCCCCC(O)=O                                               216.97     203.80     13.17     
CCCCCCCCCC                                                   219.21     224.30     -5.09     
CCCCCCCCCCC                                                  241.47     254.00     -12.53    
CCCCCCCCCCCC                                                 263.81     275.80     -11.99    
CCCCCCCCCCO                                                  236.21     238.70     -2.49     
CCCCCCCCCO                                                   213.87     212.60     1.27      
CCCCCCCCCl                                                   187.13     194.00     -6.87     
CCCCCCCCO                                                    191.13     192.70     -1.57     
CCCCCCCO                                                     168.81     169.80     -0.99     
CCCCCCCS                                                     175.39     181.10     -5.71     
CCCCCCO                                                      146.47     146.80     -0.33     
CCCCCCS                                                      153.08     157.60     -4.52     
CCCCCCl                                                      120.48     124.10     -3.62     
CCCCCO                                                       124.14     124.00     0.14      
CCCCCSC                                                      154.24     155.20     -0.96     
CCCCNCCCC                                                    193.45     194.70     -1.25     
CCCCOC                                                       121.94     127.10     -5.16     
CCCCOC(C)=O                                                  151.36     147.80     3.56      
CCCCOC=C                                                     136.59     132.10     4.49      
CCCCOCC                                                      144.74     149.70     -4.96     
CCCCOCCCC                                                    189.03     194.60     -5.57     
CCCCSC                                                       131.92     131.90     0.02      
CCCCSCCCC                                                    198.91     199.50     -0.59     
CCCC[C@@H](CC)CO                                             191.87     191.80     0.07      
CCCCc1ccccc1                                                 164.76     169.60     -4.84     
CCCNCC                                                       126.46     129.50     -3.04     
CCCNCCC                                                      148.86     149.00     -0.14     
CCCOCC                                                       122.45     126.50     -4.05     
CCCOCCC                                                      144.47     147.60     -3.13     
CCCSCCC                                                      154.54     153.10     1.44      
CCC[S](=O)(=O)CCC                                            180.59     179.69     0.90      
CCC\C=C/C                                                    120.81     119.80     1.01      
CCC\C=C/CC                                                   143.54     135.69     7.85      
CCC\C=C/CCC                                                  165.70     161.69     4.01      
CCC\C=C\C                                                    121.81     126.10     -4.29     
CCC\C=C\CC                                                   143.54     145.69     -2.15     
CCCc1ccccc1                                                  142.45     146.00     -3.55     
CCNc1ccccc1                                                  142.34     138.90     3.44      
CCOC(=O)C(=O)OCC                                             164.70     157.10     7.60      
CCOC(=O)CC                                                   129.33     126.70     2.63      
CCOC(C)OCC                                                   161.59     151.69     9.91      
CCOCCOCC                                                     160.69     152.69     8.00      
CCOCOCC                                                      136.90     123.50     13.40     
CCOc1ccccc1                                                  136.19     123.90     12.29     
CCSSCC                                                       133.03     133.20     -0.17     
CC\C=C(C)/CC                                                 144.44     143.69     0.76      
CC\C=C/CC                                                    120.60     118.50     2.10      
CC\C=C\CC                                                    121.47     128.00     -6.53     
CCc1ccc(C)cc1                                                145.48     141.90     3.58      
CCc1ccc(O)cc1                                                139.39     143.50     -4.11     
CCc1cccc(C)c1                                                145.52     141.50     4.02      
CCc1cccc(O)c1                                                139.31     143.69     -4.38     
CCc1ccccc1                                                   119.99     119.00     0.99      
CCc1ccccc1C                                                  144.79     147.70     -2.91     
CCc1ccccc1O                                                  139.17     141.20     -2.03     
CCc1cccnc1                                                   115.33     117.60     -2.27     
CCc1sccc1                                                    111.26     108.69     2.58      
CN(C)c1ccccc1                                                140.08     129.40     10.68     
CN1CCCC1                                                     97.51      95.00      2.51      
CN1CCCCC1                                                    115.72     138.80     -23.08    
CNc1ccccc1                                                   119.84     116.90     2.94      
COC(=O)c1ccccc1                                              140.53     115.60     24.93     
COC1CCCCO1                                                   128.87     132.52     -3.65     
COc1ccc(O)cc1                                                132.85     122.69     10.16     
COc1ccccc1                                                   113.08     103.50     9.58      
CSc1ccccc1                                                   122.05     116.40     5.65      
C[C@@H]1CCC[C@H](O)C1                                        138.52     141.50     -2.98     
C[C@@H]1CCC[C@H]1C                                           126.21     129.70     -3.49     
C[C@@H]1CC[C@@H](C)C1                                        126.02     129.70     -3.68     
C[C@@H]1CC[C@H](C)C1                                         126.02     129.70     -3.68     
C[C@@H]1CC[C@H]1C                                            109.53     110.30     -0.77     
C[C@@H]1CO1                                                  62.65      64.30      -1.65     
C[C@@H]1C[C@@H]1C                                            93.14      94.70      -1.56     
C[C@@H]1C[C@H]1C                                             93.14      97.30      -4.16     
C[C@H]1CCCC[C@@H]1C                                          143.56     149.10     -5.54     
C[C@H]1CCCC[C@H]1C                                           143.56     145.50     -1.94     
C[C@H]1CCC[C@@H](C)C1                                        144.33     147.10     -2.77     
C[C@H]1CCC[C@@H](O)C1                                        138.52     141.50     -2.98     
C[C@H]1CCC[C@@H]1C                                           126.21     126.19     0.02      
C[C@H]1CCC[C@H](C)C1                                         144.33     147.00     -2.67     
C[C@H]1CCC[C@H]1C                                            126.21     129.40     -3.19     
C[C@H]1CC[C@@H](C)CC1                                        144.25     145.49     -1.24     
C[C@H]1CC[C@H](C)C1                                          126.02     126.19     -0.17     
C[C@H]1CC[C@H](C)CC1                                         144.24     146.09     -1.85     
C[C@H]1CC[C@H]1C                                             109.53     110.30     -0.77     
C[C@H]1C[C@H](C)[C@@H](C)C1                                  149.46     153.70     -4.24     
C\C=C/C=C\C                                                  113.41     109.20     4.21      
Cc1c(C)c(C)c(C)c(C)c1C                                       221.28     238.60     -17.32    
Cc1c(F)c(F)c(F)c(F)c1F                                       160.58     156.00     4.58      
Cc1cc(C)c(C)c(C)c1                                           173.12     174.69     -1.56     
Cc1cc(C)c(C)c(C)c1C                                          196.87     201.69     -4.81     
Cc1cc(C)c(C)cc1C                                             172.90     176.10     -3.20     
Cc1cc(C)cc(C)c1                                              149.43     139.20     10.23     
Cc1cc(C)cc(O)c1                                              143.28     144.20     -0.92     
Cc1cc(C)nc(C)c1                                              142.80     134.70     8.10      
Cc1ccc(Br)cc1                                                116.10     115.00     1.10      
Cc1ccc(C)c(C)c1                                              148.30     143.50     4.80      
Cc1ccc(C)c(C)c1C                                             172.12     180.10     -7.98     
Cc1ccc(C)c(O)c1                                              142.92     148.70     -5.78     
Cc1ccc(C)cc1                                                 123.82     117.40     6.42      
Cc1ccc(Cl)cc1                                                114.35     113.10     1.25      
Cc1ccc(Cl)cc1C                                               138.89     137.50     1.39      
Cc1ccc(F)cc1                                                 110.51     107.30     3.21      
Cc1ccc(N)cc1                                                 123.09     117.80     5.29      
Cc1ccc(O)c(C)c1                                              142.90     147.80     -4.90     
Cc1ccc(O)cc1                                                 117.72     116.70     1.02      
Cc1ccc(O)cc1C                                                142.22     155.10     -12.88    
Cc1cccc(C)c1                                                 123.83     117.40     6.43      
Cc1cccc(C)c1C                                                147.55     146.10     1.45      
Cc1cccc(C)c1O                                                142.36     147.60     -5.24     
Cc1cccc(C)n1                                                 119.77     113.50     6.27      
Cc1cccc(Cl)c1                                                114.35     113.50     0.85      
Cc1cccc(Cl)c1C                                               138.77     137.50     1.27      
Cc1cccc(F)c1                                                 110.54     107.40     3.14      
Cc1cccc(N)c1                                                 123.25     119.20     4.05      
Cc1cccc(O)c1                                                 117.75     116.40     1.35      
Cc1cccc(O)c1C                                                142.38     153.10     -10.72    
Cc1ccccc1                                                    98.34      95.90      2.44      
Cc1ccccc1C                                                   122.80     124.00     -1.20     
Cc1ccccc1C=C                                                 136.69     133.60     3.09      
Cc1ccccc1C=O                                                 127.45     121.69     5.76      
Cc1ccccc1Cl                                                  113.81     113.10     0.71      
Cc1ccccc1F                                                   110.14     108.30     1.84      
Cc1ccccc1N                                                   121.93     121.80     0.13      
Cc1ccccc1O                                                   117.22     118.90     -1.68     
Cc1ccccn1                                                    93.93      91.70      2.23      
Cc1cccnc1                                                    93.60      91.50      2.10      
Cc1ccnc(C)c1                                                 119.37     112.60     6.77      
Cc1ccncc1                                                    93.57      91.40      2.17      
Cc1ccncc1C                                                   118.08     120.40     -2.32     
Cc1cocc1                                                     81.98      81.80      0.18      
Cc1cscc1                                                     89.43      87.50      1.93      
Cc1occc1                                                     81.93      81.40      0.53      
Cc1sccc1                                                     89.37      87.00      2.37      
Cc1sccc1C                                                    114.71     114.20     0.51      
ClC(=O)c1ccccc1                                              117.46     112.80     4.66      
ClC1CCCCC1                                                   111.86     115.00     -3.14     
ClCc1ccccc1                                                  110.82     102.30     8.52      
Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl                                 166.92     166.90     0.02      
Clc1ccccc1                                                   88.83      89.70      -0.87     
Clc1ccccc1Cl                                                 104.45     105.30     -0.85     
Cn1cccc1                                                     85.32      82.50      2.82      
FC(F)(F)c1ccccc1                                             127.28     122.00     5.28      
Fc1c(F)c(F)c(Cl)c(F)c1F                                      150.53     150.10     0.43      
Fc1c(F)c(F)c(F)c(F)c1F                                       148.44     146.70     1.74      
Fc1cc(F)c(F)c(F)c1F                                          135.09     134.70     0.39      
Fc1ccccc1                                                    85.00      85.90      -0.90     
Fc1ccccc1F                                                   97.23      98.50      -1.27     
N#CCCC#N                                                     86.66      85.70      0.96      
N#C\C=C/C#N                                                  77.76      73.40      4.36      
N#C\C=C\C#N                                                  77.76      72.69      5.07      
N#Cc1ccccc1                                                  97.89      100.70     -2.81     
NC(Cc1ccccc1)C(O)=O                                          182.13     181.69     0.45      
NC1CC1                                                       67.45      80.50      -13.05    
NC1CCCCC1                                                    118.31     124.90     -6.59     
NCc1ccccc1                                                   117.37     117.80     -0.43     
NNc1ccccc1                                                   116.21     115.10     1.11      
N[C@@H](Cc1ccccc1)C(O)=O                                     182.13     182.20     -0.07     
Nc1cccc(N)c1                                                 122.67     125.69     -3.01     
Nc1ccccc1                                                    97.75      100.60     -2.85     
O=C(O)c1ccccc1                                               116.84     95.16      21.68     
O=C1C=CC(=O)C=C1                                             98.33      99.20      -0.87     
O=C1CC1                                                      57.35      56.00      1.35      
O=C1CCC1                                                     72.28      66.00      6.28      
O=C1CCCC1                                                    87.51      87.00      0.51      
O=C1CCCCC1                                                   105.16     109.50     -4.34     
O=C1CCCCCC1                                                  125.36     129.47     -4.11     
O=C1CCCCCCC1                                                 144.76     146.09     -1.32     
O=C1CCCCCN1                                                  122.56     127.50     -4.94     
O=C1CCCN1                                                    83.66      80.00      3.66      
O=C1CCCO1                                                    78.17      78.20      -0.03     
O=C1CCO1                                                     61.42      63.00      -1.58     
O=C1OC(=O)C=C1                                               78.17      103.20     -25.03    
O=C1OCCO1                                                    69.67      73.30      -3.63     
O=Cc1ccccc1                                                  102.73     103.30     -0.57     
O=Cc1occc1                                                   85.97      90.00      -4.03     
O=c1occo1                                                    64.03      66.32      -2.29     
OC1=CC=CC1                                                   84.70      86.65      -1.95     
OC1=CCC=C1                                                   84.41      86.71      -2.29     
OC1CC1                                                       64.62      66.89      -2.27     
OC1CCCC1                                                     96.42      96.80      -0.38     
OC1CCCCC1                                                    115.44     121.80     -6.36     
OCC1CCCO1                                                    110.44     130.69     -20.25    
OCCCCCCO                                                     163.13     159.69     3.44      
OCCCCCO                                                      140.80     137.20     3.60      
OCCCCO                                                       118.41     114.80     3.61      
OCCOCCOCCO                                                   190.86     183.80     7.06      
OC[C@@H]1CCCO1                                               110.44     131.30     -20.86    
OCc1ccccc1                                                   114.01     103.30     10.71     
OCc1occc1                                                    98.50      111.00     -12.50    
Oc1c(F)c(F)c(F)c(F)c1F                                       155.08     155.69     -0.60     
Oc1ccc(Cl)cc1                                                108.21     109.80     -1.59     
Oc1ccc(O)cc1                                                 112.41     115.30     -2.89     
Oc1cccc(Cl)c1                                                108.15     109.80     -1.65     
Oc1cccc(O)c1                                                 111.67     115.40     -3.73     
Oc1ccccc1                                                    92.17      95.40      -3.23     
Oc1ccccc1O                                                   111.72     111.80     -0.08     
SC1CCCCC1                                                    121.89     117.10     4.79      
SCc1ccccc1                                                   120.87     132.40     -11.53    
Sc1ccccc1                                                    99.24      96.50      2.74      
