Smiles                                                       TCIT_S0    Exp_S0     Dev       
CCCC(C)CC                                                    424.19     426.00     -1.81     
CCCC(C)CCC                                                   464.47     457.00     7.47      
CCCC(CC)CC                                                   463.24     458.00     5.24      
CCCC(F)CC                                                    413.40     412.00     1.40      
CCCC(O)CC                                                    418.33     420.00     -1.67     
CCCC1CCCC1                                                   386.91     416.00     -29.09    
CCCC1CCCCC1                                                  399.68     419.86     -20.18    
CCCC=C(C)C                                                   413.51     400.00     13.51     
CCCCC#C                                                      371.47     369.00     2.47      
CCCCC#CC                                                     427.63     412.00     15.63     
CCCCC#CCC                                                    475.36     439.00     36.36     
CCCCC#CCCC                                                   514.81     481.00     33.81     
CCCCC#N                                                      366.40     366.00     0.40      
CCCCC(=C)CC                                                  462.55     459.00     3.55      
CCCCC(=O)CCCC                                                538.92     534.00     4.92      
CCCCC(C)(C)C                                                 449.81     433.00     16.81     
CCCCC(C)=C                                                   418.29     410.00     8.29      
CCCCC(C)=O                                                   423.18     418.00     5.18      
CCCCC(C)C                                                    425.49     420.00     5.49      
CCCCC(C)C=C                                                  455.61     447.00     8.61      
CCCCC(C)CC                                                   466.06     465.89     0.17      
CCCCC(C)S                                                    435.32     445.00     -9.68     
CCCCC(O)=O                                                   406.92     400.00     6.92      
CCCCC1CCCC1                                                  428.78     454.00     -25.22    
CCCCC1CCCCC1                                                 441.55     459.78     -18.23    
CCCCC=C                                                      386.88     385.00     1.88      
CCCCC=C(C)C                                                  455.38     438.00     17.38     
CCCCC=O                                                      383.75     379.90     3.85      
CCCCCBr                                                      409.20     410.00     -0.80     
CCCCCC                                                       391.83     389.00     2.83      
CCCCCC#C                                                     413.34     408.00     5.34      
CCCCCC#N                                                     408.26     405.00     3.26      
CCCCCC(=O)OC                                                 495.49     483.00     12.49     
CCCCCC(C)=C                                                  460.16     458.00     2.16      
CCCCCC(C)C                                                   467.36     459.00     8.36      
CCCCCC(O)=O                                                  448.78     449.00     -0.22     
CCCCCC=C                                                     428.75     425.00     3.75      
CCCCCCC                                                      433.70     428.00     5.70      
CCCCCCC#C                                                    455.21     448.00     7.21      
CCCCCCC#CC                                                   511.36     478.00     33.36     
CCCCCCC(C)=O                                                 506.91     497.00     9.91      
CCCCCCC(C)C                                                  509.22     498.00     11.22     
CCCCCCC(O)=O                                                 490.65     475.00     15.65     
CCCCCCC=C                                                    470.62     464.00     6.62      
CCCCCCC=O                                                    467.48     461.50     5.98      
CCCCCCCBr                                                    492.94     492.00     0.94      
CCCCCCCC                                                     475.56     467.00     8.56      
CCCCCCCC#C                                                   497.07     487.00     10.07     
CCCCCCCC(=O)OC                                               579.22     573.00     6.22      
CCCCCCCC(C)C                                                 551.09     539.00     12.09     
CCCCCCCC(O)=O                                                532.52     521.00     11.52     
CCCCCCCCC                                                    517.43     507.00     10.43     
CCCCCCCCC(C)C                                                592.96     582.00     10.96     
CCCCCCCCC(O)=O                                               574.38     555.00     19.38     
CCCCCCCCCBr                                                  576.67     558.00     18.67     
CCCCCCCCCC                                                   559.29     546.00     13.29     
CCCCCCCCCC(=O)OC                                             662.96     634.00     28.96     
CCCCCCCCCCBr                                                 618.54     597.00     21.54     
CCCCCCCCCCC                                                  601.16     585.00     16.16     
CCCCCCCCCCC1CCCC1                                            679.98     688.06     -8.08     
CCCCCCCCCCC1CCCCC1                                           692.74     694.42     -1.68     
CCCCCCCCCCCC                                                 643.03     625.00     18.03     
CCCCCCCCCCCC(=O)OC                                           746.69     729.00     17.69     
CCCCCCCCCCCCBr                                               702.27     683.00     19.27     
CCCCCCCCCCCCC                                                684.89     664.00     20.89     
CCCCCCCCCCCCCC                                               726.76     700.40     26.36     
CCCCCCCCCCCCCCC                                              768.63     743.00     25.63     
CCCCCCCCCCCCCCCC                                             810.49     782.00     28.49     
CCCCCCCCCCCCCCCCBr                                           869.73     830.00     39.73     
CCCCCCCCCCCCCCCCO                                            854.00     853.00     1.00      
CCCCCCCCCCCCCCF                                              763.31     741.00     22.31     
CCCCCCCCCCCCF                                                679.57     662.00     17.57     
CCCCCCCCCCCCO                                                686.54     676.00     10.54     
CCCCCCCCCCCCS                                                701.33     690.00     11.33     
CCCCCCCCCCCF                                                 637.71     622.00     15.71     
CCCCCCCCCCF                                                  595.84     583.00     12.84     
CCCCCCCCCCO                                                  602.80     583.00     19.80     
CCCCCCCCCCS                                                  617.60     612.00     5.60      
CCCCCCCCCCc1ccccc1                                           700.82     674.00     26.82     
CCCCCCCCCF                                                   553.97     543.00     10.97     
CCCCCCCCCO                                                   560.94     558.00     2.94      
CCCCCCCCF                                                    512.11     503.00     9.11      
CCCCCCCCO                                                    519.07     519.00     0.07      
CCCCCCCF                                                     470.24     464.00     6.24      
CCCCCCCO                                                     477.20     479.00     -1.80     
CCCCCCCS                                                     492.00     494.00     -2.00     
CCCCCCF                                                      428.38     424.00     4.38      
CCCCCCO                                                      435.34     440.00     -4.66     
CCCCCCS                                                      450.13     455.00     -4.87     
CCCCCC[C@@H](C)O                                             505.07     505.00     0.07      
CCCCCCl                                                      397.88     397.00     0.88      
CCCCCF                                                       386.51     384.00     2.51      
CCCCCN                                                       394.36     403.00     -8.64     
CCCCCO                                                       393.47     401.00     -7.53     
CCCCCOC                                                      433.60     431.00     2.60      
CCCCCOC(C)=O                                                 498.70     482.00     16.70     
CCCCCOC=O                                                    452.97     448.00     4.97      
CCCCCOCCCCC                                                  597.07     583.00     14.07     
CCCCCSC                                                      453.56     451.00     2.56      
CCCCC[C@@H](C)O                                              463.21     465.00     -1.79     
CCCCN(CCCC)CCCC                                              660.98     657.00     3.98      
CCCCNCCCC                                                    512.65     505.00     7.65      
CCCCOC                                                       391.73     390.00     1.73      
CCCCOC(C)=O                                                  456.83     443.00     13.83     
CCCCOC=C                                                     414.93     428.00     -13.07    
CCCCOC=O                                                     411.11     408.00     3.11      
CCCCOCC                                                      432.71     429.00     3.71      
CCCCOCCCC                                                    513.34     502.00     11.34     
CCCCOCCO                                                     465.26     479.00     -13.74    
CCCCSC                                                       411.69     412.00     -0.31     
CCCCSCCCC                                                    527.70     527.00     0.70      
CCCC[C@@H](CC)CO                                             500.08     498.00     2.08      
CCCC[C@H](CC)COC(C)=O                                        605.01     606.00     -0.99     
CCCC[C@H](O)CC                                               460.20     471.00     -10.80    
CCCC\C=C/C                                                   420.66     423.00     -2.34     
CCCC\C=C\C                                                   420.66     415.00     5.66      
CCCC\C=C\CC                                                  466.14     465.00     1.14      
CCCCc1ccccc1                                                 449.63     440.00     9.63      
CCCN(CCC)CCC                                                 541.56     531.00     10.56     
CCCNCC                                                       392.85     393.00     -0.15     
CCCNCCC                                                      433.04     430.00     3.04      
CCCOC(=O)C=C                                                 433.36     446.00     -12.64    
CCCOC(=O)CC                                                  454.29     442.00     12.29     
CCCOC(C)=O                                                   416.32     403.00     13.32     
CCCOCC                                                       392.20     388.10     4.10      
CCCOCCC                                                      432.31     423.00     9.31      
CCCOCCO                                                      424.75     438.00     -13.25    
CCC[C@@H](C)CC                                               424.19     407.00     17.19     
CCC[C@@H](C)CC=C                                             454.11     441.00     13.11     
CCC[C@@H]1CCC[C@@H]1C                                        414.64     414.00     0.64      
CCC[C@@H]1CC[C@H](C)C1                                       420.79     414.00     6.79      
CCC[C@H]1CCC[C@@H]1C                                         414.64     414.00     0.64      
CCC[CH]=[C]=[CH2]                                            370.74     371.00     -0.26     
CCC\C=C/C                                                    378.79     386.00     -7.21     
CCC\C=C\C                                                    378.79     382.00     -3.21     
CCCc1ccccc1                                                  407.76     400.00     7.76      
CCN(CC)c1ccccc1                                              465.79     462.00     3.79      
CCOC(=O)C=C                                                  393.25     407.00     -13.75    
CCOC(=O)CC                                                   414.17     403.00     11.17     
CCOC(=O)CC#N                                                 424.20     414.00     10.20     
CCOC(=O)CC(=O)OCC                                            542.87     554.00     -11.13    
CCOC(=O)CC(C)=O                                              474.29     443.00     31.29     
CCOC(=O)OCC                                                  431.23     404.00     27.23     
CCOC(=O)[C@H](C)O                                            434.18     456.00     -21.82    
CCOC(=O)c1ccccc1                                             448.78     455.00     -6.22     
CCOCCO                                                       384.64     399.00     -14.36    
CCOCCOCCOC(C)=O                                              607.67     612.00     -4.33     
CCOCCOCCOCC                                                  583.56     586.00     -2.44     
CCOCOCC                                                      421.41     418.00     3.41      
CCOc1ccccc1                                                  396.53     402.00     -5.47     
CCSSCC                                                       426.13     414.00     12.13     
CC[C@@H]1CCC[C@H]1C                                          374.36     375.00     -0.64     
CC[C@@H]1C[C@@H]1C                                           344.95     364.00     -19.05    
CC[C@H]1CCC[C@@H]1CC                                         417.64     414.00     3.64      
CC[C@H]1CCC[C@H]1C                                           374.36     375.00     -0.64     
CC[C@H]1CC[C@@H](C)C1                                        380.51     375.00     5.51      
CC[C@H]1CC[C@H](C)C1                                         380.51     375.00     5.51      
CC[C@H]1CC[C@H](CC)C1                                        427.31     414.00     13.31     
CC[C@H]1C[C@H]1C                                             344.95     377.00     -32.05    
CC[CH]=[C]=[CH]C                                             360.02     368.00     -7.98     
