smiles,S0_G4,Cv_G4,S0_Exp,Cv_Exp
C=COC=C,328.4292,84.4033,334.0,78.2
C=COC=O,320.3232,74.7131,305.0,65.2
C=O,218.5157,26.832,219.0,27.1
C=S,230.7383,29.5055,211.0,
CBr,245.9477,34.0494,245.0,34.1
CC,227.9002,42.2416,229.0,44.2
CC#C,248.1403,52.233,248.0,52.4
CC#CC,298.5768,73.8424,283.0,69.5
CC#CC#C,293.6379,84.1643,,84.0
CC#CC(C)(C)C,384.7207,141.1084,380.0,138.0
CC#CC(C)C,374.658,116.2304,361.0,115.2
CC#CC=C,304.8621,76.7837,313.0,83.6
CC#N,242.3636,43.0366,243.0,43.9
CC(=C)C#C,310.4451,87.0805,280.0,87.6
CC(=C)C#N,305.6458,78.0515,,82.9
CC(=C)C(C)(C)C,391.8754,146.4475,378.0,150.4
CC(=C)C(C)=C,340.934,113.0718,348.0,122.1
CC(=C)C(C)=O,351.5775,107.0761,360.0,95.9
CC(=C)C(O)=O,339.7505,97.0219,351.0,90.7
CC(=C)C=C,319.6965,90.997,315.0,94.3
CC(=C)C=O,319.7912,83.039,334.0,81.3
CC(=C)CC(C)(C)C,420.8574,168.9827,406.0,169.0
CC(=C)CC=C,365.631,113.9214,,122.1
CC(=O)C(C)(C)C,389.2688,140.7656,,135.0
CC(=O)CC(C)(C)O,415.2007,155.3848,438.0,151.9
CC(=O)CC(C)=O,388.0159,122.3145,362.0,105.9
CC(=O)CO,339.891,88.5033,343.0,79.7
CC(=O)OC(C)(C)C,420.373,155.6609,407.0,147.3
CC(=O)OC(C)=O,391.1743,115.1347,389.95,96.8
CC(=O)OC=C,360.0606,99.3903,328.0,90.8
CC(Br)=C,306.4736,69.6091,346.0,69.9
CC(Br)Br,328.0041,70.2325,328.0,71.6
CC(Br)CBr,366.4977,93.6622,377.0,94.7
CC(C)(C)Br,331.2509,102.5037,333.0,108.2
CC(C)(C)C,307.9423,109.3906,306.0,112.4
