Molecule                                                     Hf_0k           Hf_298k         Gf_298k         S0_298k         Cv_298k
CC(C)c1cc(cc(c1)C(C)C)C(C)C                                  -80.7973        -141.2889        166.3332        622.4902        281.3510
CC(C)c1ccc(C)c(O)c1                                          -167.9098       -220.7963       -34.3106         449.2638        185.7344
CC(C)c1ccc(C)cc1                                              12.1663        -34.0902         128.0802        428.2379        167.3495
CC(C)c1ccc(C)cc1O                                            -163.6581       -209.4037       -24.5801         454.8384        185.3884
CC(C)c1ccc(cc1)C(C)C                                         -18.6952        -82.9811         144.2694        482.7980        211.9480
CC(C)c1ccccc1                                                 44.7139         4.1190          136.9525        390.2142        143.3170
CC(C)c1ccccc1O                                               -124.9217       -171.5518       -14.0335         410.0009        160.7269
CC(C=C)C(C)(C)C                                              -58.7061        -104.4757        94.3458         424.5094        170.1040
CC(C=C)C=C                                                    105.3837        78.7934         175.2363        364.3689        114.9632
CC(C=O)c1ccccc1                                              -43.7853        -78.7138         37.8020         416.8441        149.7816
CC(CC(C)(C)C)CC(C)(C)CC(C)(C)C                               -296.4934       -398.6458        90.9869         671.1639        359.7196
CC(CO)CO                                                     -404.5713       -437.4715       -283.1441        363.9034        115.8920
CC(CO)c1ccccc1                                               -103.2225       -145.1741        7.8438          425.0954        159.9110
CC(Cl)(Cl)Cl                                                 -136.7343       -147.1425       -81.2395         321.0800        83.7845
CC(Cl)=C                                                     -6.3265         -20.0522         27.8521         294.7881        67.7682
CC(Cl)=O                                                     -231.8942       -240.8727       -203.0158        294.6472        60.4922
CC(Cl)CCl                                                    -148.9782       -167.7849       -81.5624         343.1482        89.9175
CC(Cl)Cl                                                     -121.0664       -133.9021       -76.8384         304.5275        66.6762
CC(F)(Cl)Cl                                                  -322.6830       -333.7984       -270.5293        319.7706        79.2365
CC(F)(F)C(F)(F)F                                             -1156.5907      -1171.7273      -1067.1993       369.6315        114.5864
CC(F)(F)Cl                                                   -523.8386       -535.7214       -472.1188        308.5077        74.1111
CC(F)(F)F                                                    -739.1351       -751.8353       -684.9315        287.2916        68.5464
CC(F)=C                                                      -174.5873       -188.7208       -140.6220        283.9920        64.1197
CC(F)=O                                                      -430.1303       -439.7817       -401.2656        282.2924        55.0907
CC(F)CF                                                      -468.8013       -488.5415       -402.3570        322.9879        82.0432
CC(F)Cl                                                      -296.3923       -309.7330       -252.4539        293.6609        62.5884
CC(F)F                                                       -488.6737       -502.6007       -444.8174        281.8257        57.8144
CC(N)=O                                                      -218.5005       -233.9783       -164.4996        303.5324        70.1311
CC(N)CN                                                      -16.2279        -50.2340         107.1592        334.3307        102.7289
CC(O)=O                                                      -417.3796       -430.5350       -373.8966        288.0339        60.6921
CC(O)C(C)C(C)O                                               -455.3160       -499.1674       -282.1635        426.5256        166.2297
CC(O)C(C)O                                                   -432.7990       -465.2907       -308.5281        355.7357        118.6323
CC(O)C(O)CO                                                  -585.1852       -619.9093       -441.2273        384.7975        132.1636
CC(O)C=C                                                     -142.3787       -165.7816       -70.3138         328.0596        94.6664
CC(O)CC(C)(C)O                                               -475.5125       -520.5361       -299.7999        414.0073        164.6272
CC(O)CC(C)O                                                  -443.5108       -481.3342       -298.2636        403.9181        143.1675
CC(O)CCO                                                     -417.8189       -450.7535       -296.6919        364.7949        116.6200
CC(O)CCl                                                     -273.0563       -295.2164       -191.4205        340.5867        94.0931
CC(O)CNCC(C)O                                                -408.2335       -457.8924       -207.7207        476.4250        184.1084
CC(O)CO                                                      -399.9375       -426.4773       -302.2326        328.3813        95.2981
CC(O)COC(=O)C(C)=C                                           -524.7889       -562.9115       -370.0142        485.0192        181.9369
CC(O)COC(C)(C)C                                              -460.5406       -510.6257       -266.0285        470.3969        188.2252
CC(O)Cc1ccccc1                                               -118.4229       -158.2671       -6.7819          430.2360        160.6442
CC(O)c1ccccc1                                                -100.1735       -135.1518       -10.5179         383.8757        136.6048
CC(OC(C)=O)OC(C)=O                                           -825.9644       -859.9476       -675.5672        479.7451        168.6653
CC/C=C(C)/CC                                                 -40.2360        -79.0601         81.6207         416.0141        144.6988
CC/C=C/C(C)(C)C                                              -65.6400        -111.3057        84.4032         434.9492        168.8405
CC/C=C/C(C)C                                                 -39.0825        -78.5381         83.0357         413.0189        144.7616
CC/C=C/C(C)CC                                                -54.0324        -99.4384         90.9509         452.7913        167.1881
CC/C=C/C=C                                                    201.2045        178.7508        279.1389        351.1367        113.1811
CC/C=C/CC(C)C                                                -54.5990        -100.2439        90.2296         452.5087        166.6358
CC/C=C/Cl                                                    -9.7151         -29.1274         46.7677         337.3265        90.2397
CC1(C)CC(CC(C)(CN=C=O)C1)N=C=O                               -278.0219       -345.5750       -29.9492         583.1560        267.8676
CC1(C)CC1                                                     21.7757        -11.1576         99.4027         311.2789        96.0347
CC1(C)CC=CC1                                                  3.9388         -46.4118         94.0115         353.2778        119.2113
CC1(C)CCC=C1                                                  5.6981         -34.6122         107.0416        349.1506        120.3973
CC1(C)CCCC1                                                  -100.6374       -137.9598        49.1295         327.4395        127.8151
CC1(C)CCCCC1                                                 -138.0521       -185.0272        37.8283         343.8993        145.6529
CC1(C)CO1                                                    -114.1214       -162.7003       -67.2475         328.1100        90.3462
CC1(O)CCCCC1                                                 -298.0304       -331.5656       -121.8909        354.2675        141.1445
CC1=CC(=O)CC(C)(C)C1                                         -186.3264       -228.4142       -35.3269         421.3820        171.0312
CC1=CC(=O)OC1=O                                              -441.9326       -455.1473       -379.4732        343.9877        102.8549
CC1=CC1                                                       257.9600        240.6652        279.9524        283.2301        67.8532
CC1=CC=CC1                                                    117.7638        90.2563         162.3098        315.4914        91.8983
CC1=CCCC1                                                     30.2533        -3.1183          105.7729        322.6171        96.3677
CC1=CCCC1(C)C                                                -29.5058        -81.4031         94.2603         371.5020        143.6005
CC1CC(=O)O1                                                  -302.7927       -324.0201       -234.5316        320.0142        85.6035
CC1CC(C)C(C)C1                                               -116.3630       -162.5650        52.7627         369.1475        148.1675
CC1CC(C)CC(C)C1                                              -160.1394       -217.4288        37.5911         372.4393        166.0420
CC1CC(OC(C)O1)OC(C)=O                                        -766.9890       -807.5586       -547.7470        499.5875        205.0151
CC1CC1                                                        49.4740         25.4248         103.5108        283.7784        70.7734
CC1CC1(C)C                                                   -0.2494         -35.4309         105.7891        344.8657        117.4363
CC1CC1C                                                       23.7236        -6.5803          106.7812        301.8838        94.3428
CC1CC=C(C)C1                                                  1.7571         -31.0140         107.2203        360.6201        119.9900
CC1CC=CC1                                                     38.5837         18.1146         126.4603        324.4469        95.6726
CC1CC=CC1C                                                    26.8238        -19.4140         121.7059        350.9414        119.3606
CC1CCC(=C1)C                                                  2.0979         -27.8313         112.2100        354.5589        119.6952
CC1CCC(=C1C)C                                                -11.5209        -72.6695         99.4370         383.4318        143.9924
CC1CCC(C)(C)C1                                               -115.9449       -164.4873        50.5287         370.1927        150.8291
CC1CCC(C)C1C                                                 -109.1046       -166.0662        50.4736         365.0820        149.2964
CC1CCC(C)CC1                                                 -134.6121       -180.4085        37.3944         360.8456        143.8101
CC1CCC(C)O1                                                  -214.8491       -253.2052       -82.3655         348.1007        121.5923
CC1CCC(O)CC1                                                 -268.3097       -324.9218       -116.6559        358.9927        138.7603
CC1CCC1                                                       28.4027        -1.6445          110.0689        307.4112        86.0065
CC1CCC=C1                                                     39.3186         11.3549         120.4836        321.8203        96.1339
CC1CCC=C1C                                                    3.6168         -29.5643         108.6970        360.5294        120.0683
CC1CCCC1                                                     -62.4649        -102.6632        47.4812         314.9334        102.4226
CC1CCCC1(C)C                                                 -117.7929       -158.6919        59.7051         358.8528        150.5007
CC1CCCCC1                                                    -103.5106       -149.9443        36.8763         328.3409        120.6010
CC1CCCCC1O                                                   -269.0856       -319.2401       -104.3882        336.9034        138.9133
CC1CCCO1                                                     -186.3118       -223.8488       -87.4512         327.2003        95.9659
CC1CCCS1                                                     -33.3298        -67.8639         46.6159         330.1867        103.3547
CC1CCC[C@@H](O)C1                                            -267.3543       -320.5557       -112.0235        358.0997        138.3512
CC1CC[S](=O)(=O)C1                                           -350.2184       -385.2993       -220.6092        366.9409        129.8729
CC1CN1                                                        124.1842        92.9737         178.0313        285.1206        64.3836
CC1CO1                                                       -80.5817        -95.3989        -26.4733         280.6624        62.3788
CC1COC(=O)O1                                                 -534.9588       -552.4487       -432.9661        321.9933        87.7246
CC1C[C@H](C)[C@H](C)C1                                       -109.9888       -168.1540        49.8903         360.0360        148.4876
CC1OC(C)OC(C)O1                                              -578.1783       -626.7906       -408.6599        394.6461        147.4552
CC1OCCO1                                                     -324.6357       -349.6668       -221.3116        320.3345        81.3215
CC=C                                                          35.3023         20.0864         63.1587         264.7950        54.3083
CC=C(C)C                                                     -13.7657        -40.5336         63.7772         332.2398        100.6367
CC=C=O                                                       -53.9535        -63.4701        -34.9694         285.5683        62.0058
CC=O                                                         -155.9371       -166.5528       -132.7849        262.1620        46.9402
CCBr                                                         -46.9506        -62.8925        -24.9710         287.1005        54.2371
CCC                                                          -81.5338        -103.9910       -23.2313         269.0706        62.0445
CCC#C                                                         180.5173        166.8389        204.0611        290.1561        72.4574
CCC#CC                                                        147.3546        128.9780        190.1310        346.3117        93.3691
CCC#CC(C)(C)CC                                                71.4241         28.4747         212.6301        479.4399        183.0867
CCC#CC(C)C                                                    113.3308        82.3729         202.1895        422.3930        135.7571
CCC#CCC                                                       135.0148        110.0810        197.6755        394.0466        112.8958
CCC#CCCC(C)C                                                  83.4462         40.1501         215.4849        509.0241        180.0159
CCC#N                                                         68.2638         54.4793         100.6276        284.9430        63.4953
CCC(=C)C(C)(C)C                                              -59.7190        -106.0164        93.5660         421.9571        168.4095
CCC(=C)C(C)C                                                 -38.6292        -78.4263         86.2820         402.5056        144.7574
CCC(=C)C=C                                                    86.1193         58.8526         157.4068        357.2874        112.9716
CCC(=C)CC                                                    -19.1044        -52.7824         78.0869         379.5821        121.6534
CCC(=C)CC(C)C                                                -58.9146        -104.5735        87.4281         447.3837        166.8826
CCC(=O)CC                                                    -231.0346       -259.3904       -139.4156        382.2826        115.8837
CCC(=O)OC                                                    -407.8775       -432.3916       -320.0075        373.9020        106.6538
CCC(=O)OC(=O)CC                                              -587.1925       -618.4760       -460.9145        467.1161        159.6780
CCC(=O)OC=C                                                  -311.2685       -335.1564       -228.2551        398.0315        121.6620
CCC(Br)CC                                                    -107.1347       -140.9322       -12.6248         393.2050        123.6910
CCC(C(C)C)C(C)C                                              -171.9277       -230.9211        34.0648         469.6929        198.2584
CCC(C)(C)C                                                   -143.9183       -184.8181       -11.3581         367.4124        132.5148
CCC(C)(C)C#C                                                  117.8061        86.0807         217.6793        382.8760        142.5103
CCC(C)(C)C(C)(C)C                                            -183.6999       -243.5333        29.4702         442.8018        201.4254
CCC(C)(C)C(C)=C                                              -64.0023        -109.9967        89.2557         423.0642        168.9451
CCC(C)(C)C(C)C                                               -169.1248       -222.1169        13.5943         431.4609        177.6311
CCC(C)(C)C=C                                                 -39.3712        -79.3365         87.9009         394.0228        146.7532
CCC(C)(C)CC                                                  -154.5978       -201.5612        1.4368          404.7611        154.6986
CCC(C)(C)CC(C)C                                              -184.3211       -243.4930        21.8774         468.4033        199.4299
CCC(C)(C)CC=C                                                -54.8275        -100.7418        95.1377         434.3771        168.9244
CCC(C)(C)F                                                   -341.2999       -374.3240       -228.5559        359.9273        120.7703
CCC(C)(C)O                                                   -295.1457       -331.4068       -167.0818        364.2111        128.2220
CCC(C)(C)OC                                                  -262.4202       -304.4659       -112.0929        406.5581        149.0000
CCC(C)(C)\C=C\C                                              -65.3426        -110.7309        87.2322         427.3886        169.3049
CCC(C)(C)c1ccc(O)cc1                                         -172.1344       -220.3243        3.7670          459.5542        209.8050
CCC(C)(CC)C#C                                                 103.3314        65.6534         226.7794        420.2607        165.0791
CCC(C)(CC)C=C                                                -53.1312        -98.9906         97.6289         431.8949        169.3763
CCC(C)(CC)CC                                                 -166.1191       -219.0804        13.6445         441.4770        177.3635
CCC(C)(O)CC                                                  -307.5280       -349.8290       -155.9930        401.6508        150.5983
CCC(C)=C                                                     -7.4491         -35.1373         68.2533         335.3262        99.6411
CCC(C)=C(C)C                                                 -46.0226        -84.2139         79.7886         404.8729        146.6734
CCC(C)=O                                                     -215.3505       -237.6884       -147.2283        344.8553        93.6496
CCC(C)Br                                                     -91.3538        -119.3197       -20.0493         354.1753        100.9800
CCC(C)C                                                      -116.8672       -151.6609       -11.6978         343.3415        108.0049
CCC(C)C#C                                                     143.3092        117.4937        215.7517        358.2811        117.6198
CCC(C)C#CC                                                    109.6109        79.1838         201.6221        413.6001        138.6234
CCC(C)C(/C)=C/C                                              -63.2664        -107.6137        84.1546         448.1659        168.6062
CCC(C)C(=C)CC                                                -54.7362        -100.5186        93.7540         439.7665        167.1797
CCC(C)C(C)(C)C                                               -170.5960       -223.5362        12.1989         431.3805        177.7524
CCC(C)C(C)=C                                                 -43.4643        -83.0119         81.4496         403.3335        145.2051
CCC(C)C(C)=O                                                 -249.3562       -283.9270       -130.5815        406.7768        138.4187
CCC(C)C(C)C                                                  -147.7802       -194.5246        6.4212          411.6446        153.2593
CCC(C)C(C)C=C                                                -46.7288        -92.3276         99.9329         446.5152        168.1755
CCC(C)C(C)CC                                                 -160.1176       -212.7662        15.0554         457.9226        175.8406
CCC(C)C1CCCC1                                                -118.0156       -166.0006        70.3166         435.1681        171.1884
CCC(C)C=C                                                    -14.9665        -48.6239         84.0694         373.4643        122.6785
CCC(C)C=C(C)C                                                -66.6618        -111.3629        82.3241         441.7305        168.2589
CCC(C)C=O                                                    -204.5716       -233.6806       -110.6813        372.1381        115.0678
CCC(C)CBr                                                    -100.0645       -133.9502       -6.2839          395.3553        123.0299
CCC(C)CC                                                     -129.2385       -169.9718       -1.4308          383.9106        130.4649
CCC(C)CC#C                                                    128.2978        96.3496         223.7345        397.0092        140.1174
CCC(C)CC(C)(C)CC                                             -196.6924       -261.8040        32.1444         508.9724        221.8899
CCC(C)CC(C)=C                                                -59.6306        -105.2393        87.8615         443.6968        167.3303
CCC(C)CC(C)C                                                 -167.6895       -220.4744        11.1399         445.2018        175.5644
CCC(C)CC=C                                                   -28.5520        -68.2637         93.0697         413.8250        144.7242
CCC(C)CCC=C                                                  -40.5595        -86.4061         101.5024        461.1118        167.0544
CCC(C)CCCC(C)C                                               -194.6173       -259.5689        24.6560         541.5852        220.2960
CCC(C)CCCCCO                                                 -321.7905       -382.2486       -111.0495        551.4337        214.0663
CCC(C)CCO                                                    -278.2052       -320.4598       -132.4810        421.2960        147.0379
CCC(C)CF                                                     -305.9610       -339.2451       -197.4085        373.1139        117.1263
CCC(C)CO                                                     -265.5801       -301.7414       -142.2112        380.2932        124.7663
CCC(C)N                                                      -68.8937        -103.1885        45.1493         339.9777        105.7456
CCC(C)O                                                      -262.3957       -292.7020       -161.4205        338.6195        103.1055
CCC(C)OC                                                     -236.6260       -272.7417       -113.3719        380.8311        123.8667
CCC(C)OC(C)=O                                                -465.7539       -502.2712       -328.2404        439.9776        152.8244
CCC(C)OC(C)CC                                                -307.9247       -362.0575       -110.6514        481.3999        192.8404
CCC(C)S                                                      -68.1513        -97.2784         8.6260          353.2087        109.3605
CCC(C)\C=C/C                                                 -40.8841        -80.0184         83.2565         407.3133        145.1716
CCC(C)\C=C\C                                                 -40.8841        -80.0184         83.2565         407.3133        145.1716
CCC(C=C)C(C)C                                                -50.2680        -95.7477         98.2402         440.7214        167.9705
CCC(CC)(CC)CC                                                -178.6721       -237.6705        28.2298         466.6259        199.7398
CCC(CC)=C(C)C                                                -61.3409        -105.8645        90.2678         433.5289        168.4597
CCC(CC)=CC                                                   -38.8388        -77.9169         84.9461         408.6950        144.8034
CCC(CC)C#C                                                    126.5140        94.7585         222.0945        397.1730        140.0588
CCC(CC)C(C)(C)C                                              -173.7616       -233.1113        33.6083         463.8782        199.4467
CCC(CC)C(C)=C                                                -61.3274        -106.7865        87.0859         441.1088        167.6692
CCC(CC)C(C)C                                                 -159.6094       -212.3961        18.3699         448.0471        175.8615
CCC(CC)C=C                                                   -27.2679        -66.8529         94.5967         413.4354        145.2514
CCC(CC)CC                                                    -139.9372       -186.7022        10.8693         422.9619        152.5483
CCC(CC)CC=C                                                  -39.2506        -84.9941         105.3698        452.8763        166.8076
CCC(CC)CO                                                    -275.7103       -318.0665       -129.0839        417.9293        146.7911
CCC(CO)(CO)CO                                                -602.8486       -651.7246       -407.8639        439.0271        171.2008
CCC(N)CC                                                     -80.9443        -121.1752        56.0707         379.4393        128.5151
CCC(N)CO                                                     -225.4322       -262.0943       -91.6305         368.3469        119.9003
CCC(O)(CC)CC                                                 -321.1184       -369.6657       -145.2702        435.5740        172.3427
CCC(O)=O                                                     -431.8688       -451.3223       -365.6859        327.1938        82.9428
CCC(O)C(C)CO                                                 -446.4953       -491.4948       -275.0248        428.3161        161.1087
CCC(O)CC                                                     -275.2365       -311.5422       -151.1730        377.4791        125.4273
CCC(O)CO                                                     -416.2334       -448.5546       -295.8379        369.3057        118.2351
CCC(O)OCC(C)OC(O)CC                                          -845.3993       -911.4060       -567.2718        614.5483        261.3248
CCC(O)c1ccccc1                                               -111.5134       -152.4135        1.3840          422.4807        159.0020
CCC/C=C/CCC                                                  -45.6387        -91.3283         95.4369         464.9466        166.1507
CCC1(C)CC1                                                   -5.8886         -37.8480         102.5129        347.7472        119.3446
CCC1(C)CCCC1                                                 -113.6466       -157.6201        56.3693         373.6358        150.2934
CCC1(CC)CCCC1                                                -137.1838       -172.4458        76.9226         391.3941        170.1023
CCC1=CCCC1                                                    17.1650        -21.8377         116.2640        361.0646        118.7079
CCC1CC1                                                       32.2332         2.0955          110.1306        319.7485        93.1462
CCC1CC1C                                                      11.9244        -11.8176         129.3766        344.9523        116.5904
CCC1CCC(C)C1                                                 -105.8740       -151.6730        60.2677         380.5076        147.8056
CCC1CCC(CC)CC1                                               -155.9280       -212.7429        64.5678         434.0952        188.4206
CCC1CCC1                                                      8.5893         -24.1147         119.2249        337.7567        108.4841
CCC1CCC=C1                                                    27.6380        -12.5073         125.1172        362.6650        118.8404
CCC1CCCC1                                                    -83.4242        -123.5224        57.8454         346.6297        124.8647
CCC1CCCC1(C)C                                                -116.8790       -166.3641        82.7279         392.3213        171.9023
CCC1CCCC1C                                                   -103.3961       -147.1591        66.6142         374.3609        148.4373
CCC1CCCCC1                                                   -121.8530       -171.4156        46.8190         359.3976        142.9458
CCC1CO1                                                      -84.7669        -111.7610       -14.3719         321.6152        85.0071
CCC=C                                                         22.6630         0.9754          72.9314         304.3384        77.0852
CCC=C(C)C                                                    -27.8042        -60.7381         72.1424         372.8369        122.5192
CCC=C(CC)CC                                                  -52.8773        -98.1213         93.3112         449.2921        166.6860
CCC=O                                                        -170.3410       -187.4293       -124.9667        302.3395        69.3741
CCCBr                                                        -62.7951        -84.8177        -18.1075         326.9630        77.2651
CCCC                                                         -95.7793        -124.4226       -14.6249         308.0965        85.2022
CCCC#C                                                        164.8582        144.9723        211.1058        329.6070        94.4153
CCCC#CC                                                       131.6955        107.1113        197.1757        385.7626        115.3269
CCCC#CCC                                                      119.3557        88.2144         204.7202        433.4975        134.8536
CCCC#CCCC                                                     103.6966        66.3477         211.7649        472.9485        156.8115
CCCC#N                                                        52.0714         32.0718         107.0906        324.5308        85.4741
CCCC(=C)C(C)C                                                -53.6160        -99.4049         93.7229         443.6064        166.7571
CCCC(=C)CCC                                                  -49.0778        -94.7397         92.9685         461.7837        165.6528
CCCC(=O)CC                                                   -245.4067       -280.0456       -130.2659        418.7364        137.6783
CCCC(=O)CCC                                                  -259.7788       -300.7009       -121.1162        455.1902        159.4730
CCCC(=O)OC                                                   -422.4671       -453.2504       -311.4794        411.7579        128.4192
CCCC(=O)OCC                                                  -449.0726       -486.0021       -315.5644        452.0292        151.0883
CCCC(C)(C)C                                                  -159.3405       -206.1305       -4.0826          407.9478        154.8910
CCCC(C)(C)C(C)(C)C                                           -199.1221       -264.8457        36.7458         483.3372        223.8017
CCCC(C)(C)C=C                                                -54.7934        -100.6490        95.1765         434.5582        169.1294
CCCC(C)(C)CC                                                 -170.0200       -222.8737        8.7124          445.2965        177.0748
CCCC(C)=C                                                    -22.4358        -56.1159         75.6941         376.4270        121.6408
CCCC(C)=C(C)C                                                -61.0093        -105.1925        87.2294         445.9737        168.6731
CCCC(C)=O                                                    -229.7226       -258.3437       -138.0786        381.3091        115.4443
CCCC(C)Br                                                    -106.2714       -140.1666       -12.3105         394.7184        123.3563
CCCC(C)C                                                     -131.6888       -172.4869       -3.8602          383.6231        130.3645
CCCC(C)C#C                                                    128.4876        96.6676         223.5893        398.5627        139.9793
CCCC(C)C(C)=C                                                -58.2858        -103.8379        89.2872         443.6151        167.5646
CCCC(C)C(C)C                                                 -162.6017       -215.3506        14.2588         451.9262        175.6188
CCCC(C)C=C                                                   -29.7880        -69.4500         91.9070         413.7460        145.0380
CCCC(C)CC                                                    -144.0601       -190.7979        6.4068          424.1922        152.8244
CCCC(C)CC=O                                                  -232.5809       -273.6784       -93.8409         454.3424        159.4396
CCCC(C)CCC                                                   -158.8816       -211.6240        14.2444         464.4738        175.1839
CCCC(C)CCC(C)C                                               -194.7911       -259.6883        25.0091         540.0004        220.3462
CCCC(C)CO                                                    -280.4016       -322.5675       -134.3736        420.5748        147.1258
CCCC(C)O                                                     -277.0950       -313.3930       -153.6185        379.4736        125.4148
CCCC(C)S                                                     -83.7195        -118.8477        15.7307         393.4558        131.2808
CCCC(C)\C=C\C                                                -55.7057        -100.8444        91.0941         447.5950        167.5312
CCCC(CC)C=C                                                  -42.0894        -87.6790         102.4343        453.7170        167.6109
CCCC(CC)CC                                                   -154.7587       -207.5282        18.7069         463.2435        174.9078
CCCC(F)CC                                                    -334.4117       -373.5707       -203.0730        413.4039        140.1218
CCCC(O)=O                                                    -446.4584       -472.1811       -357.1578        365.0497        104.7082
CCCC(O)CC                                                    -289.9357       -332.2332       -143.3710        418.3332        147.7367
CCCC1(C)CCCC1                                                -129.0688       -178.9326        63.6449         414.1712        172.6696
CCCC1=CCCC1                                                   2.1783         -42.8164         123.7048        402.1653        140.7076
CCCC1CC1                                                      17.4117        -18.7306         117.9682        360.0302        115.5058
CCCC1CCCC1                                                   -98.2457        -144.3484        65.6830         386.9113        147.2242
CCCC1CCCC1C                                                  -118.2177       -167.9852        74.4517         414.6425        170.7968
CCCC1CCCCC1                                                  -136.6745       -192.2416        54.6566         399.6793        165.3053
CCCC=C                                                        7.7212         -20.0309         80.4707         345.0161        99.4322
CCCC=C(C)C                                                   -42.7459        -81.7443         79.6817         413.5146        144.8662
CCCC=O                                                       -183.7851       -207.1062       -115.7599        341.8833        91.5621
CCCCBr                                                       -77.5773        -105.6512       -10.3053         367.3382        99.5912
CCCCC                                                        -110.4271       -145.1293       -7.1404          349.9629        107.5115
CCCCC#C                                                       150.2104        124.2656        218.5903        371.4734        116.7246
CCCCC#CC                                                      117.0478        86.4047         204.6602        427.6290        137.6362
CCCCC#CCC                                                     104.7079        67.5077         212.2047        475.3639        157.1630
CCCCC#CCCC                                                    89.0488         45.6410         219.2494        514.8149        179.1208
CCCCC#N                                                       37.4236         11.3651         114.5750        366.3972        107.7834
CCCCC(=C)CC                                                  -48.7389        -94.4677         93.0122         462.5493        165.9624
CCCCC(=O)CC                                                  -260.0545       -300.7523       -122.7814        460.6028        159.9877
CCCCC(=O)CCC                                                 -274.4266       -321.4076       -113.6318        497.0566        181.7824
CCCCC(=O)CCCC                                                -289.0744       -342.1142       -106.1473        538.9230        204.0917
CCCCC(=O)OC                                                  -437.1149       -473.9571       -303.9950        453.6243        150.7285
CCCCC(C)(C)C                                                 -173.9883       -226.8372        3.4019          449.8142        177.2004
CCCCC(C)=C                                                   -37.0836        -76.8226         83.1786         418.2933        143.9502
CCCCC(C)=O                                                   -244.3704       -279.0503       -130.5942        423.1755        137.7537
CCCCC(C)C                                                    -146.3366       -193.1936        3.6243          425.4895        152.6738
CCCCC(C)C=C                                                  -44.4358        -90.1567         99.3915         455.6124        167.3473
CCCCC(C)CC                                                   -158.7078       -211.5046        13.8913         466.0586        175.1337
CCCCC(C)CC(C)C                                               -197.1588       -262.0071        26.4620         527.3499        220.2333
CCCCC(C)CCC                                                  -173.5294       -232.3307        21.7289         506.3402        197.4933
CCCCC(C)CCCC                                                 -188.1772       -253.0373        29.2133         548.2066        219.8026
CCCCC(C)CCCO                                                 -321.9643       -382.3680       -110.6964        549.8489        214.1165
CCCCC(C)CO                                                   -295.0494       -343.2742       -126.8892        462.4412        169.4351
CCCCC(C)O                                                    -291.7428       -334.0997       -146.1340        421.3400        147.7241
CCCCC(C)S                                                    -98.3673        -139.5544        23.2152         435.3222        153.5901
CCCCC(CC)C=O                                                 -248.5354       -295.6647       -87.0105         494.1104        182.1840
CCCCC(CC)CC                                                  -169.4065       -228.2349        26.1914         505.1099        197.2171
CCCCC(CC)CCO                                                 -318.3732       -378.7229       -104.8588        542.4953        213.7902
CCCCC(CC)CO                                                  -305.1796       -359.5992       -113.7618        500.0773        191.4599
CCCCC(CC)COC(=O)C=C                                          -402.1521       -462.8212       -178.6693        622.0499        253.7060
CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC                         -1010.2757      -1140.3759      -501.2682        1137.3022       529.2961
CCCCC(CC)COC(C)=O                                            -509.2453       -570.0435       -282.5214        605.0062        240.9027
CCCCC(CC)COCCO                                               -456.4046       -525.1675       -201.1982        613.4417        249.1747
CCCCC(O)=O                                                   -461.1062       -492.8878       -349.6733        406.9161        127.0175
CCCCC(O)CC                                                   -304.5835       -352.9399       -135.8866        460.1996        170.0460
CCCCC1=CCCC1                                                 -12.4695        -63.5230         131.1893        444.0317        163.0169
CCCCC1CCCC1                                                  -112.8935       -165.0551        73.1674         428.7777        169.5335
CCCCC1CCCCC1                                                 -151.3223       -212.9483        62.1411         441.5457        187.6147
CCCCC=C                                                      -6.9265         -40.7376         87.9552         386.8825        121.7415
CCCCC=C(C)C                                                  -57.3937        -102.4510        87.1662         455.3810        167.1755
CCCCC=O                                                      -198.4329       -227.8128       -108.2755        383.7497        113.8714
CCCCCBr                                                      -92.2251        -126.3579       -2.8208          409.2046        121.9005
CCCCCC                                                       -125.0749       -165.8360        0.3441          391.8293        129.8208
CCCCCC#C                                                      135.5626        103.5589        226.0747        413.3398        139.0340
CCCCCC#CC                                                     102.4000        65.6980         212.1447        469.4954        159.9456
CCCCCC#CCC                                                    90.0601         46.8010         219.6891        517.2303        179.4723
CCCCCC#N                                                      22.7758        -9.3416          122.0595        408.2636        130.0928
CCCCCC(=O)CC                                                 -274.7023       -321.4590       -115.2970        502.4692        182.2970
CCCCCC(=O)CCC                                                -289.0744       -342.1142       -106.1473        538.9230        204.0917
CCCCCC(=O)OC                                                 -451.7627       -494.6637       -296.5105        495.4907        173.0378
CCCCCC(C)(C)C                                                -188.6360       -247.5439        10.8864         491.6806        199.5097
CCCCCC(C)=C                                                  -51.7314        -97.5293         90.6631         460.1597        166.2595
CCCCCC(C)=O                                                  -259.0182       -299.7570       -123.1097        465.0419        160.0630
CCCCCC(C)C                                                   -160.9844       -213.9003        11.1088         467.3559        174.9831
CCCCCC(C)C(C)C                                               -191.8973       -256.7640        29.2278         535.6590        220.2375
CCCCCC(C)CC                                                  -173.3556       -232.2113        21.3757         507.9250        197.4430
CCCCCC(C)CCC                                                 -188.1772       -253.0373        29.2133         548.2066        219.8026
CCCCCC(C)O                                                   -306.3906       -354.8064       -138.6495        463.2064        170.0334
CCCCCC(O)=O                                                  -475.7540       -513.5945       -342.1888        448.7825        149.3268
CCCCCC=C                                                     -21.5743        -61.4443         95.4396         428.7489        144.0508
CCCCCC=O                                                     -213.0807       -248.5195       -100.7910        425.6161        136.1807
