Molecule                                                     Hf_0k           Hf_298k         Gf_298k         S0_298k         Cv_298k
C1CCC=CC1                                                     28.5798        -2.7811          111.5073        304.5146        90.9382
C1CCC=CCC1                                                    29.6353        -7.9783          137.0608        337.7963        111.2933
C1CCCC1                                                      -41.6274        -72.7274         45.9979         283.8934        78.7795
C1CCCCC1                                                     -81.6846        -120.9170        34.0830         298.6472        96.7999
C1CCCCCC1                                                    -70.2533        -115.4100        68.6897         337.4665        117.5149
C1CCCCCCC1                                                   -70.2139        -122.2140        95.2278         362.0567        137.1755
C1CCCOCC1                                                    -178.3196       -218.9234       -46.1273         341.5389        111.0172
C1CCCOCCC1                                                   -188.2784       -235.8455       -27.2793         357.9856        130.5188
C1CCC\C=C/CC1                                                 21.9320        -22.6666         158.0761        354.4660        130.7782
C1CCNC1                                                       29.1003        -1.7750          119.1021        301.4013        74.9971
C1CCNCC1                                                     -8.5572         -47.2918         111.4680        310.7621        93.4444
C1CCOC1                                                      -154.9920       -181.6703       -77.4655         298.7555        71.8801
C1CCOCC1                                                     -187.1911       -221.9913       -80.2884         309.4060        89.9717
C1CCOCOC1                                                    -310.4774       -346.9852       -182.4616        335.4451        102.8709
C1CCOCOCC1                                                   -330.0382       -373.3275       -173.4744        353.3694        122.7700
C1CCSC1                                                      -7.5565         -33.7594         48.6960         301.1771        79.7794
C1CCSCC1                                                     -31.2883        -64.5919         51.6230         324.3673        99.1095
C1CN1                                                         144.0026        127.4729        182.3487        249.9305        42.5879
C1CNCCN1                                                      66.4764         28.2211         198.6425        296.3739        90.0344
C1CO1                                                        -41.8173        -54.3601        -14.7493         242.5647        39.2449
C1COC1                                                       -60.7866        -80.2698        -9.2717          273.7114        54.8261
C1COCCN1                                                     -110.6869       -144.9749        4.9006          306.7200        86.6412
C1COCCO1                                                     -287.3494       -317.7201       -183.1306        299.4247        83.2103
C1COCO1                                                      -275.4769       -299.8602       -196.5806        268.0187        56.4453
C1COCOC1                                                     -309.9129       -340.4359       -207.2969        304.2897        82.4237
C1COCOCCO1                                                   -429.4154       -467.7605       -277.8272        352.8005        117.1174
C1COO1                                                        24.5542         9.8655          71.6379         270.8142        50.5040
C1COOC1                                                      -77.5093        -100.0522       -2.2559          286.4095        67.1019
C1COOO1                                                      -4.5583         -22.3434         64.3331         289.8655        63.1146
C1CS1                                                         86.6595         74.6892         89.4815         255.2805        45.2322
C1CSC1                                                        80.1929         61.2375         107.2767        286.8979        62.1355
C1CSCS1                                                       46.5523         26.4305         70.4796         325.6265        81.6790
C1CSCSC1                                                      26.6667        -0.6502          81.2528         335.0841        101.7789
C1OC1COc2ccccc2                                              -59.4624        -94.8389         47.9242         431.3905        155.5785
C1OCC=C1                                                     -43.2888        -62.8203         6.9801          283.4684        65.5162
C1OCOCO1                                                     -444.4941       -470.8842       -343.3180        289.1409        74.1980
C1OCOCOCO1                                                   -594.3899       -628.9737       -447.0009        345.6601        108.0340
C1OCOO1                                                      -204.9308       -223.1360       -131.9228        274.6495        59.8804
C1SCC=C1                                                      101.0434        82.4861         127.5704        295.8407        73.7378
C=C                                                           60.4204         51.9245         67.9728         219.0135        33.8820
C=C/C=C/C=C/C=C                                               248.6392        223.8949        304.4885        429.0078        140.6908
C=C/C=C\C=C/C=C                                               248.6392        223.8949        304.4885        429.0078        140.6908
C=C1CC(=O)O1                                                 -173.5138       -188.4473       -134.3141        307.9165        79.0528
C=C1CC1                                                       198.9263        182.4016        226.9864        265.4618        63.7859
C=C1CCC1                                                      142.4609        114.5536        193.0172        288.2520        78.1412
C=C1CCCC1                                                     45.9849         12.1399         129.4461        294.3929        94.0502
C=C=C=C                                                       327.3391        321.2250        326.3452        267.1468        64.9681
C=C=O                                                        -45.9404        -49.0890        -48.1044         241.4376        42.7060
C=CC#C                                                        295.5785        288.9104        290.8251        277.8983        64.1062
C=CC#N                                                        192.0548        185.2911        196.0845        272.8437        55.1106
C=CC(=O)O                                                    -308.6540       -321.6056       -269.3528        308.4834        73.8133
C=CC(=O)OCCOC(=O)C=C                                         -547.2134       -579.8694       -413.0554        550.1431        196.9917
C=CC(C)=O                                                    -95.0205        -111.1220       -52.8099         322.0003        84.1729
C=CC1CCC=CC1                                                  110.0418        71.1825         209.3231        366.6742        129.6643
C=CC=C                                                        125.7769        111.0283        149.7301        285.1935        68.6001
C=CC=O                                                       -55.9363        -66.3110        -38.2428         287.0190        60.2446
C=CCC#C                                                       287.5370        274.6647        304.9201        319.2627        86.5578
C=CCC#N                                                       176.7377        163.7637        202.9145        314.1527        77.6375
C=CCC=C                                                       126.6632        105.9971        170.3127        335.7045        91.2316
C=CCCC=C                                                      111.2218        84.3609         175.5663        381.9357        113.6622
C=CCNCC=C                                                     172.3815        140.0108        269.9707        413.0975        132.3356
C=CCOCC1CO1                                                  -103.0090       -142.2387       -0.1401          416.3989        132.2982
C=CCc1ccccc1                                                  164.4495        133.2206        225.0794        396.9639        134.6867
C=COC=C                                                       4.4542         -11.9135         44.4818         328.4292        84.4033
C=COC=O                                                      -248.9608       -261.5017       -212.7790        320.3232        74.7131
C=C\C=C/C=C                                                   187.2081        167.4616        227.1093        357.1007        104.6454
C=C\C=C\C=C                                                   187.2081        167.4616        227.1093        357.1007        104.6454
C=Cc1cccc(C=C)c1                                              214.5329        230.9068        322.0783        405.0094        151.1963
C=Cc1ccccc1                                                   167.4540        152.5140        217.5899        350.3745        110.9607
C=O                                                          -108.2817       -112.1171       -106.0097        218.5157        26.8320
C=S                                                           117.6456        113.9522        95.3881         230.7383        29.5055
CBr                                                          -25.6132        -34.9218        -25.4042         245.9477        34.0494
CC                                                           -67.8024        -83.5712        -31.2102         227.9002        42.2416
CC#C                                                          192.1745        185.1898        194.2654        248.1403        52.2330
CC#CC                                                         159.6945        147.8750        182.5865        298.5768        73.8424
CC#CC#C                                                       433.1625        429.3696        428.3028        293.6379        84.1643
CC#CC(C)(C)C                                                  97.7038         67.3078         198.3564        384.7207        141.1084
CC#CC(C)C                                                     125.6706        101.2698        194.6450        374.6580        116.2304
CC#CC=C                                                       259.6118        245.8668        280.4158        304.8621        76.7837
CC#CCC(C)C                                                    107.5064        76.7997         199.5374        412.5957        138.5690
CC#N                                                          79.7740         72.5992         90.7688         242.3636        43.0366
CC(=C)C#C                                                     265.7791        253.0921        285.9766        310.4451        87.0805
CC(=C)C#N                                                     160.7851        148.0340        189.7211        305.6458        78.0515
CC(=C)C(=O)OCCO                                              -487.7284       -519.9238       -359.4744        457.4301        158.1216
CC(=C)C(C)(C)C                                               -49.3963        -89.2811         78.5966         391.8754        146.4475
CC(=C)C(C)=C                                                  72.5816         45.2543         148.6843        340.9340        113.0718
CC(=C)C(C)=O                                                 -127.6352       -149.6597       -59.4924         351.5775        107.0761
CC(=C)C(O)=O                                                 -340.0762       -358.8395       -275.2354        339.7505        97.0219
CC(=C)C=C                                                     97.1750         76.1118         145.2001        319.6965        90.9970
CC(=C)C=O                                                    -90.7817        -107.1038       -48.1330         319.7912        83.0390
CC(=C)CC(C)(C)C                                              -68.8933        -114.9965        84.9138         420.8574        168.9827
CC(=C)CC=C                                                    95.1077         68.4893         164.5559        365.6310        113.9214
CC(=C)CCC(C)=C                                                50.9077         12.1908         166.0131        444.7574        158.0795
CC(=C)[C@@H]1CCC(=CC1)C                                       51.1015        -6.6434          194.1187        429.4808        176.0377
CC(=C)c1ccccc1                                                142.4666        116.7326        213.6540        379.9840        134.8226
CC(=O)C(C)(C)C                                               -258.5022       -293.2380       -134.6726        389.2688        140.7656
CC(=O)CC(=O)Nc1ccccc1                                        -53.6395        -93.1146         86.5668         474.4504        194.9770
CC(=O)CC(C)(C)O                                              -437.3906       -474.6146       -293.1965        415.2007        155.3848
CC(=O)CC(C)=O                                                -343.1685       -366.4803       -256.5929        388.0159        122.3145
CC(=O)CO                                                     -339.6945       -357.5970       -275.7461        339.8910        88.5033
CC(=O)Nc1ccc(O)cc1                                           -72.8845        -88.1495         64.1995         423.9641        165.2329
CC(=O)OC(C)(C)C                                              -476.2355       -512.8390       -332.9630        420.3730        155.6609
CC(=O)OC(C)=O                                                -558.1029       -576.8953       -478.0390        391.1743        115.1347
CC(=O)OC=C                                                   -296.7237       -314.3660       -236.8174        360.0606        99.3903
CC(=O)OCC(COC(C)=O)OC(C)=O                                   -1156.0083      -1203.6795      -931.0686        667.5585        258.1954
CC(=O)OCC=C                                                  -309.3393       -332.8988       -228.2706        405.6554        121.0135
CC(=O)OCCOC(C)=O                                             -761.3997       -794.3140       -620.7596        516.0556        171.3851
CC(=O)OCc1ccccc1                                             -276.1522       -313.1914       -178.3318        457.8985        163.7905
CC(=O)OOC(C)=O                                               -505.4287       -524.2226       -412.0590        449.1214        138.8666
CC(=O)Oc1ccccc1                                              -238.3485       -257.7523       -152.6976        421.4450        144.7917
CC(=O)Oc1ccccc1C(O)=O                                        -613.1619       -634.4652       -485.6249        485.4870        185.5041
CC(=O)c1ccc(O)cc1                                            -230.9465       -275.7461       -162.6933        394.6188        144.5234
CC(=O)c1ccccc1                                               -59.2050        -84.4806         3.2155          377.0859        125.7625
CC(Br)=C                                                      46.2271         31.3186         65.1754         306.4736        69.6091
CC(Br)Br                                                     -19.1728        -34.2481        -5.3109          328.0041        70.2325
CC(Br)CBr                                                    -53.3720        -74.3629        -16.2289         366.4977        93.6622
CC(C)(C)Br                                                   -107.2058       -135.1015       -28.9961         331.2509        102.5037
CC(C)(C)C                                                    -133.3690       -168.2184       -17.7010         307.9423        109.3906
CC(C)(C)C#C                                                   131.7460        106.0167        210.9501        335.8917        120.0588
CC(C)(C)C#N                                                   19.7892        -5.9359          107.6820        331.4887        111.2891
CC(C)(C)C(=O)C(C)(C)C                                        -296.6927       -349.8975       -92.7587         467.9123        209.4796
CC(C)(C)C(=O)OC=C                                            -357.7377       -393.6362       -219.7761        446.2901        169.1169
CC(C)(C)C(C)(C)C                                             -176.3275       -230.0448        17.0164         393.3924        178.9864
CC(C)(C)C=C                                                  -26.5203        -60.4913         77.3776         356.1055        124.2723
CC(C)(C)C=O                                                  -219.4295       -248.4064       -121.3778        358.6241        117.0465
CC(C)(C)CBr                                                  -115.6914       -149.7399       -16.8773         377.9267        125.1635
CC(C)(C)CC#C                                                  110.7105        78.6630         211.1177        380.0049        142.2384
CC(C)(C)CC(C)(C)C                                            -186.9450       -246.5710        26.7041         441.8907        201.1033
CC(C)(C)CC(C)(C)c1ccc(O)cc1                                  -215.1611       -282.0772        41.8293         534.0325        278.3935
CC(C)(C)CC=C                                                 -44.1480        -83.9986         82.3427         397.0284        146.7406
CC(C)(C)CCC(C)(C)C                                           -222.9016       -287.8384        6.4598          507.7991        224.5799
CC(C)(C)CCC=C                                                -55.8399        -101.7388        91.0130         444.8674        169.1211
CC(C)(C)CO                                                   -281.3823       -317.8236       -152.7570        361.7238        127.1969
CC(C)(C)Cl                                                   -157.5829       -184.3771       -64.2453         319.6359        100.7757
CC(C)(C)F                                                    -328.8918       -355.8760       -236.5789        312.2917        97.6084
CC(C)(C)N                                                    -86.7617        -121.0713        31.4192         326.0492        108.2013
CC(C)(C)NCc1ccccc1                                            51.1590        -1.6105          229.3638        495.0336        209.6973
CC(C)(C)O                                                    -282.9969       -313.2015       -178.0881        325.7674        105.8332
CC(C)(C)OC(C)(C)C                                            -315.6818       -370.4503       -106.5137        439.3722        197.5260
CC(C)(C)OC=O                                                 -414.6308       -445.7852       -296.2751        385.8009        132.2598
CC(C)(C)OO                                                   -206.4516       -237.8254       -82.7458         361.3803        124.5066
CC(C)(C)OOC(C)(C)C                                           -289.1365       -342.4067       -72.0643         520.4672        224.8812
CC(C)(C)S                                                    -84.4404        -113.6025       -3.2603          338.3247        111.4648
CC(C)(C)SC(C)(C)C                                            -145.2444       -198.1223        39.4940         457.1251        205.4253
CC(C)(C)SSC(C)(C)C                                           -164.1848       -216.9742        10.7517         522.3517        229.2242
CC(C)(C)c1cc(cc(c1)C(C)(C)C)C(C)(C)C                         -252.8344       -256.4399        169.2619        635.7094        361.4473
CC(C)(C)c1ccccc1                                              15.5977        -27.7274         140.4422        408.1166        168.6881
CC(C)(C)c1ccccc1O                                            -170.4657       -212.9758       -16.7019         416.4343        185.2868
CC(C)(CO)CO                                                  -426.6782       -464.6046       -277.3449        389.8679        144.1549
CC(C)(Cl)Cl                                                  -157.8548       -176.5230       -84.4215         323.4298        92.1902
CC(C)(O)c1ccccc1                                             -131.7644       -165.3688       -8.2042          411.1874        163.6612
CC(C)(c1ccc(O)cc1)c2ccc(O)cc2                                -190.1960       -239.5650        8.0372          506.2384        265.1666
CC(C)(c1ccccc1)C(C)(C)c2ccccc2                                130.9099        59.4484         354.2244        552.1166        295.8764
CC(C)(c1ccccc1)c2ccccc2                                       156.0563        104.1977        302.7057        465.7410        227.9280
CC(C)/C=C/C(C)C                                              -62.4098        -107.7604        85.7132         442.4466        168.0664
CC(C)=C                                                       4.7520         -16.7138         59.4587         290.1961        76.8140
CC(C)=C(C)C                                                  -31.4668        -63.1141         72.5627         363.4576        124.8453
CC(C)=C=O                                                    -73.0015        -88.3874        -27.1618         312.2286        84.0471
CC(C)=CC(C)(C)C                                              -64.9367        -109.9529        90.3990         419.3763        170.3716
CC(C)=CC(C)=O                                                -150.2436       -177.3312       -58.1323         390.6249        129.5651
CC(C)=CC=C                                                    72.6044         46.3500         145.3502        355.7917        113.9148
CC(C)=CC=C(C)C                                                19.4318        -18.3283         140.9703        426.3898        159.2296
CC(C)=O                                                      -200.2712       -216.4306       -152.7629        298.2976        70.6802
CC(C)Br                                                      -75.2010        -97.2090        -27.0732         315.4733        77.5043
CC(C)C                                                       -104.6828       -133.3899       -19.5368         294.4949        84.8723
CC(C)C#C                                                      159.3689        139.5797        208.7747        319.3391        95.2268
CC(C)C#N                                                      47.2257         27.4013         105.3700        314.6367        86.4194
CC(C)C(=C)C(C)C                                              -59.3467        -105.0564        92.4886         428.7907        167.5183
CC(C)C(=O)C(C)C                                              -270.6854       -311.1453       -123.8306        429.2634        160.9997
CC(C)C(C)(C)C                                                -158.6395       -205.4741       -0.7608          399.0082        155.2966
