Smiles                                                       TCIT_Cv    G4_Cv      Dev       
CCCCCCCCCC                                                   219.06     219.21     -0.15     
CCCCCCCCCCC                                                  241.37     241.47     -0.10     
CCCCCCCCCCCC                                                 263.68     263.81     -0.13     
CCCCCCCCCCO                                                  235.68     236.21     -0.53     
CCCCCCCCCO                                                   213.37     213.87     -0.50     
CCCCCCCCCl                                                   187.02     187.13     -0.12     
CCCCCCCCO                                                    191.06     191.13     -0.07     
CCCCCCCO                                                     168.75     168.81     -0.05     
CCCCCCCS                                                     175.04     175.39     -0.35     
CCCCCCO                                                      146.44     146.47     -0.03     
CCCCCCS                                                      152.73     153.08     -0.36     
CCCCCCl                                                      120.09     120.48     -0.39     
CCCCCO                                                       124.13     124.14     -0.01     
CCCCCSC                                                      153.93     154.24     -0.32     
CCCCNCCCC                                                    193.53     193.45     0.08      
CCCCOC                                                       121.90     121.94     -0.05     
CCCCOC(C)=O                                                  151.25     151.36     -0.11     
CCCCOC=C                                                     136.12     136.59     -0.48     
CCCCOCC                                                      144.70     144.74     -0.03     
CCCCOCCCC                                                    188.90     189.03     -0.13     
CCCCSC                                                       131.62     131.92     -0.30     
CCCCSCCCC                                                    198.51     198.91     -0.41     
CCCC[C@@H](CC)CO                                             191.46     191.87     -0.41     
CCCCc1ccccc1                                                 164.72     164.76     -0.04     
CCCNCC                                                       126.44     126.46     -0.02     
CCCNCCC                                                      148.81     148.86     -0.05     
CCCOCC                                                       122.47     122.45     0.01      
CCCOCCC                                                      144.42     144.47     -0.05     
CCCSCCC                                                      154.54     154.54     0.00      
CCC[S](=O)(=O)CCC                                            181.02     180.59     0.43      
CCC\C=C/C                                                    121.79     120.81     0.98      
CCC\C=C/CC                                                   143.80     143.54     0.27      
CCC\C=C/CCC                                                  166.15     165.70     0.45      
CCC\C=C\C                                                    121.79     121.81     -0.03     
CCC\C=C\CC                                                   143.80     143.54     0.27      
CCCc1ccccc1                                                  142.41     142.45     -0.04     
CCN1CCOCC1                                                   131.90     131.95     -0.06     
CCNc1ccccc1                                                  139.50     142.34     -2.84     
CCOC(=O)C(=O)OCC                                             170.08     164.70     5.38      
CCOC(=O)CC                                                   129.32     129.33     -0.00     
CCOC(=O)OCC                                                  142.89     142.93     -0.05     
CCOC(C)OCC                                                   160.77     161.59     -0.83     
CCOCCOCC                                                     158.30     160.69     -2.39     
CCOCOCC                                                      136.92     136.90     0.02      
CCOc1ccccc1                                                  137.75     136.19     1.56      
CCSSCC                                                       133.03     133.03     0.00      
CC\C=C(C)/CC                                                 144.70     144.44     0.26      
CC\C=C/CC                                                    121.46     120.60     0.85      
CC\C=C\CC                                                    121.46     121.47     -0.01     
CCc1ccc(C)cc1                                                144.72     145.48     -0.76     
CCc1ccc(O)cc1                                                139.08     139.39     -0.32     
CCc1cccc(C)c1                                                145.12     145.52     -0.40     
CCc1cccc(O)c1                                                140.79     139.31     1.48      
CCc1ccccc1                                                   120.41     119.99     0.42      
CCc1ccccc1C                                                  144.42     144.79     -0.37     
CCc1ccccc1O                                                  139.50     139.17     0.33      
CCc1cccnc1                                                   112.96     115.33     -2.37     
CCc1sccc1                                                    111.12     111.26     -0.15     
CN(C)c1ccccc1                                                137.77     140.08     -2.31     
CN1CCCC1                                                     97.27      97.51      -0.24     
CN1CCCCC1                                                    115.64     115.72     -0.08     
CNc1ccccc1                                                   116.94     119.84     -2.90     
COC(=O)c1ccccc1                                              139.85     140.53     -0.67     
COC1CCCCO1                                                   128.64     128.87     -0.23     
COc1ccc(C(=O)O)cc1                                           157.68     157.10     0.58      
COc1ccc(O)cc1                                                134.54     132.85     1.69      
COc1ccccc1                                                   114.62     113.08     1.54      
CSc1ccccc1                                                   123.65     122.05     1.59      
C[C@@H]1CCC[C@H](O)C1                                        138.35     138.52     -0.17     
C[C@@H]1CCC[C@H]1C                                           126.01     126.21     -0.20     
C[C@@H]1CC[C@@H](C)C1                                        125.60     126.02     -0.41     
C[C@@H]1CC[C@H](C)C1                                         125.60     126.02     -0.41     
C[C@@H]1CC[C@H]1C                                            109.80     109.53     0.27      
C[C@@H]1CO1                                                  62.38      62.65      -0.27     
C[C@@H]1C[C@@H]1C                                            94.34      93.14      1.20      
C[C@@H]1C[C@H]1C                                             94.34      93.14      1.20      
