Smiles                                                       G4_S0      Exp_S0     Dev       
CC(C)C                                                       294.49     295.00     -0.51     
CC(C)C#N                                                     314.64     314.00     0.64      
CC(C)C(=C)C(C)C                                              428.79     440.00     -11.21    
CC(C)C(=O)C(C)C                                              429.26     441.00     -11.74    
CC(C)C(C)(C)C=C                                              420.82     426.00     -5.18     
CC(C)C(C)=C                                                  366.07     373.00     -6.93     
CC(C)C(C)=C(C)C                                              434.79     467.00     -32.21    
CC(C)C(C)Br                                                  381.05     383.00     -1.95     
CC(C)C(C)C                                                   365.37     366.00     -0.63     
CC(C)C(C)C#C                                                 384.44     392.00     -7.56     
CC(C)C(C)C(C)=C                                              427.53     423.00     4.53      
CC(C)C(C)C(C)C                                               437.17     428.00     9.17      
CC(C)C(C)C=C                                                 400.24     399.00     1.24      
CC(C)C(C)O                                                   365.71     388.60     -22.89    
CC(C)C=C                                                     333.69     334.00     -0.31     
CC(C)C=C(C)C                                                 401.96     393.00     8.96      
CC(C)C=O                                                     332.24     323.00     9.24      
CC(C)CC#C                                                    356.44     357.00     -0.56     
CC(C)CC(C)(C)C                                               431.05     423.00     8.05      
CC(C)CC(C)=C                                                 403.13     399.00     4.13      
CC(C)CC(C)=O                                                 405.32     413.00     -7.68     
CC(C)CC(C)C                                                  404.63     397.00     7.63      
CC(C)CC(O)=O                                                 392.88     390.00     2.88      
CC(C)CC=C                                                    373.26     368.00     5.26      
CC(C)CCBr                                                    396.55     392.00     4.55      
CC(C)CCCl                                                    384.10     401.00     -16.90    
CC(C)CCO                                                     380.73     390.00     -9.27     
CC(C)CCS                                                     393.39     401.00     -7.61     
CC(C)CCl                                                     342.49     344.00     -1.51     
CC(C)CO                                                      338.98     349.00     -10.02    
CC(C)CS                                                      357.38     363.00     -5.62     
CC(C)Cl                                                      303.85     306.00     -2.15     
CC(C)F                                                       293.85     293.00     0.85      
CC(C)N                                                       300.44     312.00     -11.56    
CC(C)NC(C)C                                                  414.94     412.00     2.94      
CC(C)O                                                       299.16     312.00     -12.84    
CC(C)OC(C)C                                                  403.12     399.00     4.12      
CC(C)S                                                       314.15     324.00     -9.85     
CC(C)[CH]=[C]=[CH2]                                          358.85     359.00     -0.15     
CC(C=C)C(C)(C)C                                              424.51     400.00     24.51     
CC(C=C)C=C                                                   364.37     363.00     1.37      
CC(Cl)(Cl)Cl                                                 321.08     321.00     0.08      
CC(Cl)=O                                                     294.65     295.00     -0.35     
CC(Cl)CCl                                                    343.15     355.00     -11.85    
CC(Cl)Cl                                                     304.53     305.00     -0.47     
CC(F)(Cl)Cl                                                  319.77     319.00     0.77      
CC(F)(F)C(F)(F)F                                             369.63     357.00     12.63     
CC(F)(F)Cl                                                   308.51     307.00     1.51      
CC(F)(F)F                                                    287.29     282.00     5.29      
CC(F)=C                                                      283.99     296.00     -12.01    
CC(F)CF                                                      322.99     325.00     -2.01     
CC(F)Cl                                                      293.66     301.00     -7.34     
CC(F)F                                                       281.83     283.00     -1.17     
CC(N)=O                                                      303.53     278.00     25.53     
CC(O)=O                                                      288.03     283.00     5.03      
CC(O)C(C)O                                                   355.74     387.00     -31.26    
CC(O)CC(C)O                                                  403.92     403.00     0.92      
CC(O)CCl                                                     340.59     365.00     -24.41    
CC(O)CO                                                      328.38     314.00     14.38     
CC=C                                                         264.80     267.00     -2.20     
CC=O                                                         262.16     264.00     -1.84     
CCBr                                                         287.10     287.00     0.10      
CCC                                                          269.07     270.00     -0.93     
CCC#C                                                        290.16     290.00     0.16      
CCC#N                                                        284.94     285.00     -0.06     
CCC(=C)C(C)(C)C                                              421.96     420.00     1.96      
CCC(=C)C(C)C                                                 402.51     398.00     4.51      
CCC(=C)C=C                                                   357.29     376.00     -18.71    
CCC(=C)CC                                                    379.58     377.00     2.58      
CCC(=O)CC                                                    382.28     370.00     12.28     
CCC(=O)OC                                                    373.90     360.00     13.90     
CCC(Br)CC                                                    393.20     392.00     1.20      
CCC(C)(C)C                                                   367.41     358.00     9.41      
CCC(C)(C)C#C                                                 382.88     384.00     -1.12     
CCC(C)(C)C(C)=C                                              423.06     423.00     0.06      
CCC(C)(C)C(C)C                                               431.46     427.00     4.46      
CCC(C)(C)C=C                                                 394.02     378.00     16.02     
CCC(C)(C)CC                                                  404.76     391.00     13.76     
CCC(C)(C)F                                                   359.93     344.00     15.93     
CCC(C)(C)O                                                   364.21     362.80     1.41      
