Smiles                                                       G4_S0      Exp_S0     Dev       
CC1CCCC1                                                     342.08     340.00     2.08      
CC1CCCCC1                                                    342.46     343.00     -0.54     
CC1CCCS1                                                     335.92     349.00     -13.08    
CC1CO1                                                       280.16     287.40     -7.24     
CC1C[C@H](C)[C@H](C)C1                                       392.37     390.00     2.37      
CC1OCCO1                                                     328.87     318.00     10.87     
CCC(C)C(C)CC                                                 449.60     452.00     -2.40     
CCC(C)CC(C)C                                                 450.88     448.00     2.88      
CCC1CCC1                                                     345.73     342.00     3.73      
CCC1CCCC1                                                    382.18     378.00     4.18      
CCC1CCCCC1                                                   382.53     383.00     -0.47     
CCCC(=O)CC                                                   430.71     409.60     21.11     
CCCC(C)(C)CC                                                 444.97     438.00     6.97      
CCCC(C)C(C)C                                                 451.45     452.00     -0.55     
CCCC(C)CCC                                                   465.51     457.00     8.51      
CCCC(CC)CC                                                   462.99     458.00     4.99      
CCCC1CCCC1                                                   429.27     416.00     13.27     
CCCC1CCCCC1                                                  423.30     419.86     3.44      
CCCCC#N                                                      364.75     366.00     -1.25     
CCCCC(=O)CCCC                                                550.30     534.00     16.30     
CCCCC(C)(C)C                                                 448.43     433.00     15.43     
CCCCC(C)=O                                                   421.29     418.00     3.29      
CCCCC(C)C                                                    423.92     420.00     3.92      
CCCCC(C)CC                                                   466.09     465.89     0.20      
CCCCC(O)=O                                                   406.53     400.00     6.53      
CCCCC1CCCCC1                                                 463.56     459.78     3.78      
CCCCC=C                                                      386.19     385.00     1.19      
CCCCC=O                                                      383.96     379.90     4.06      
CCCCCBr                                                      409.01     410.00     -0.99     
CCCCCC                                                       390.06     389.00     1.06      
CCCCCC(=O)OC                                                 495.26     483.00     12.26     
CCCCCC(C)C                                                   465.13     459.00     6.13      
CCCCCC(O)=O                                                  449.79     449.00     0.79      
CCCCCC=C                                                     426.73     425.00     1.73      
CCCCCCC                                                      430.59     428.00     2.59      
CCCCCCC(O)=O                                                 489.91     475.00     14.91     
CCCCCCC=C                                                    466.99     464.00     2.99      
CCCCCCC=O                                                    463.34     461.50     1.84      
CCCCCCCC                                                     476.75     467.00     9.75      
CCCCCCCC(=O)OC                                               575.54     573.00     2.54      
CCCCCCCC(C)C                                                 545.67     539.00     6.67      
CCCCCCCC(O)=O                                                529.33     521.00     8.33      
CCCCCCCCC                                                    511.26     507.00     4.26      
CCCCCCCCC(O)=O                                               568.65     555.00     13.65     
CCCCCCCCCC                                                   558.03     546.00     12.03     
CCCCCCCCCCC                                                  591.95     585.00     6.95      
CCCCCCCCCCCC                                                 626.33     625.00     1.33      
CCCCCCCCCCO                                                  594.62     583.00     11.62     
CCCCCCCCCO                                                   554.40     558.00     -3.60     
CCCCCCCCO                                                    513.51     519.00     -5.49     
CCCCCCCO                                                     472.86     479.00     -6.14     
CCCCCCCS                                                     489.95     494.00     -4.05     
CCCCCCO                                                      432.29     440.00     -7.71     
CCCCCCS                                                      449.33     455.00     -5.67     
CCCCCCl                                                      396.83     397.00     -0.17     
CCCCCO                                                       392.03     401.00     -8.97     
CCCCCSC                                                      452.09     451.00     1.09      
CCCCNCCCC                                                    513.95     505.00     8.95      
CCCCOC                                                       391.79     390.00     1.79      
CCCCOC(C)=O                                                  456.46     443.00     13.46     
CCCCOC=C                                                     418.87     428.00     -9.13     
CCCCOCC                                                      432.52     429.00     3.52      
CCCCOCCCC                                                    512.45     502.00     10.45     
CCCCSC                                                       411.92     412.00     -0.08     
CCCCSCCCC                                                    534.95     527.00     7.95      
CCCC[C@@H](CC)CO                                             504.83     498.00     6.83      
CCCCc1ccccc1                                                 445.08     440.00     5.08      
CCCNCC                                                       392.96     393.00     -0.04     
CCCNCCC                                                      433.23     430.00     3.23      
CCCOCC                                                       392.10     388.10     4.00      
CCCOCCC                                                      431.78     423.00     8.78      
CCC\C=C/C                                                    381.80     386.00     -4.20     
CCC\C=C\C                                                    378.57     382.00     -3.43     
CCCc1ccccc1                                                  404.18     400.00     4.18      
CCOC(=O)CC                                                   412.50     403.00     9.50      
CCOC(=O)OCC                                                  439.31     404.00     35.31     
CCOCOCC                                                      427.33     418.00     9.33      
CCOc1ccccc1                                                  392.22     402.00     -9.78     
CCSSCC                                                       420.75     414.00     6.75      
CC\C=C/CC                                                    377.33     378.00     -0.67     
CC\C=C\CC                                                    380.45     376.00     4.45      
CCc1ccc(C)cc1                                                412.81     399.00     13.81     
CCc1ccc(O)cc1                                                390.17     391.00     -0.83     
CCc1cccc(C)c1                                                415.68     404.00     11.68     
CCc1ccccc1                                                   367.03     361.00     6.03      
CCc1ccccc1C                                                  390.97     400.00     -9.03     
CCc1ccccc1O                                                  381.85     393.00     -11.15    
CCc1cccnc1                                                   364.63     364.00     0.63      
CN1CCCC1                                                     329.69     329.00     0.69      
CNc1ccccc1                                                   357.47     341.00     16.47     
COC(=O)c1ccccc1                                              407.41     415.00     -7.59     
COC1CCCCO1                                                   373.18     367.40     5.78      
COc1ccc(C(=O)O)cc1                                           423.54     413.00     10.54     
COc1ccccc1                                                   351.68     361.00     -9.32     
C[C@@H]1CCC[C@H](O)C1                                        365.70     389.00     -23.30    
C[C@@H]1CC[C@@H](C)C1                                        363.49     367.00     -3.51     
C[C@@H]1CC[C@H](C)C1                                         363.49     367.00     -3.51     
C[C@@H]1CO1                                                  280.16     287.00     -6.84     
C[C@@H]1C[C@@H]1C                                            309.38     310.00     -0.62     
C[C@@H]1C[C@H]1C                                             309.38     317.00     -7.62     
C[C@H]1CCCC[C@@H]1C                                          368.14     371.00     -2.86     
C[C@H]1CCCC[C@H]1C                                           368.14     374.00     -5.86     
C[C@H]1CCC[C@@H](C)C1                                        371.38     371.00     0.38      
C[C@H]1CCC[C@@H](O)C1                                        365.70     389.00     -23.30    
C[C@H]1CCC[C@H](C)C1                                         371.38     376.00     -4.62     
C[C@H]1CC[C@@H](C)CC1                                        365.46     370.87     -5.41     
C[C@H]1CC[C@H](C)CC1                                         365.45     365.89     -0.44     
C\C=C/C=C\C                                                  352.76     357.00     -4.24     
Cc1c(C)c(C)c(C)c(C)c1C                                       483.52     461.00     22.52     
Cc1cc(C)c(C)cc1C                                             408.04     419.00     -10.96    
Cc1cc(C)cc(C)c1                                              422.33     385.30     37.03     
Cc1cc(C)cc(O)c1                                              410.75     392.00     18.75     
Cc1cc(C)nc(C)c1                                              419.96     390.00     29.96     
Cc1ccc(Br)cc1                                                380.89     364.00     16.89     
Cc1ccc(C)c(C)c1                                              402.81     396.00     6.81      
Cc1ccc(C)c(O)c1                                              395.16     394.00     1.16      
Cc1ccc(C)cc1                                                 390.00     352.00     38.00     
Cc1ccc(Cl)cc1C                                               384.70     385.00     -0.30     
Cc1ccc(F)cc1                                                 358.56     339.00     19.56     
Cc1ccc(N)cc1                                                 365.40     347.00     18.40     
Cc1ccc(O)c(C)c1                                              396.84     396.00     0.84      
Cc1ccc(O)cc1                                                 363.54     351.00     12.54     
Cc1ccc(O)cc1C                                                377.74     391.00     -13.26    
Cc1cccc(C)c1                                                 382.47     359.00     23.47     
Cc1cccc(C)c1C                                                388.59     387.00     1.59      
Cc1cccc(C)c1O                                                379.00     390.00     -11.00    
Cc1cccc(C)n1                                                 366.99     356.00     10.99     
Cc1cccc(Cl)c1                                                363.71     338.00     25.71     
Cc1cccc(Cl)c1C                                               387.88     385.00     2.88      
Cc1cccc(F)c1                                                 362.52     339.00     23.52     
Cc1cccc(N)c1                                                 363.08     352.00     11.08     
Cc1cccc(O)c1                                                 359.48     356.00     3.48      
Cc1ccccc1                                                    337.32     321.00     16.32     
Cc1ccccc1C                                                   348.31     354.00     -5.69     
Cc1ccccc1C=C                                                 380.28     379.00     1.28      
Cc1ccccc1Cl                                                  351.72     348.00     3.72      
Cc1ccccc1F                                                   344.19     339.00     5.19      
Cc1ccccc1N                                                   346.43     350.00     -3.57     
Cc1ccccn1                                                    329.91     325.00     4.91      
Cc1cccnc1                                                    329.62     325.00     4.62      
Cc1ccnc(C)c1                                                 378.38     361.00     17.38     
Cc1ccncc1                                                    335.00     319.00     16.00     
Cc1ccncc1C                                                   352.97     357.00     -4.03     
Cc1cocc1                                                     308.23     310.00     -1.77     
Cc1cscc1                                                     320.69     321.00     -0.31     
Cc1occc1                                                     308.36     309.00     -0.64     
Cc1sccc1                                                     322.11     321.00     1.11      
Cc1sccc1C                                                    367.35     353.00     14.35     
ClC(=O)c1ccccc1                                              374.64     370.00     4.64      
ClCc1ccccc1                                                  366.75     361.00     5.75      
Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl                                 440.74     437.00     3.74      
Clc1ccccc1                                                   314.11     314.00     0.11      
Clc1ccccc1Cl                                                 343.01     342.00     1.01      
Cn1cccc1                                                     314.21     308.00     6.21      
FC(F)(F)c1ccccc1                                             387.97     373.00     14.97     
Fc1c(F)c(F)c(F)c(F)c1F                                       384.44     382.00     2.44      
Fc1ccccc1F                                                   321.22     321.00     0.22      
N#CC#CC#N                                                    251.59     290.11     -38.52    
N#CCCC#N                                                     329.66     327.00     2.66      
N#Cc1ccccc1                                                  323.71     321.00     2.71      
NC1CC1                                                       279.73     285.00     -5.27     
NCc1ccccc1                                                   360.62     359.00     1.62      
NNc1ccccc1                                                   351.38     351.00     0.38      
N[C@@H](Cc1ccccc1)C(O)=O                                     472.31     488.00     -15.69    
Nc1ccccc1                                                    316.87     319.00     -2.13     
O=C1C=CC(=O)C=C1                                             321.73     320.00     1.73      
O=C1CCCC1                                                    308.75     315.00     -6.25     
O=C1CCCCC1                                                   334.18     334.00     0.18      
O=C1CCCCCN1                                                  356.42     363.00     -6.58     
O=C1CCCN1                                                    310.95     301.00     9.95      
O=C1CCCO1                                                    306.82     306.00     0.82      
O=C1CCO1                                                     285.20     286.00     -0.80     
O=C1OC(=O)C=C1                                               304.47     317.00     -12.53    
O=C1OCCO1                                                    297.70     277.00     20.70     
O=Cc1ccccc1                                                  342.05     336.00     6.05      
O=Cc1occc1                                                   325.64     333.00     -7.36     
OC1CCCCC1                                                    338.15     340.00     -1.85     
OCCCCO                                                       382.25     379.00     3.25      
OCCOCCOCCO                                                   535.70     558.00     -22.30    
OC[C@@H]1CCCO1                                               358.62     374.00     -15.38    
OCc1ccccc1                                                   358.84     369.00     -10.16    
OCc1occc1                                                    344.87     358.00     -13.13    
Oc1ccc(Cl)cc1                                                343.20     345.00     -1.80     
Oc1ccc(O)cc1                                                 331.93     348.00     -16.07    
Oc1cccc(O)c1                                                 329.97     331.00     -1.03     
Oc1ccccc1                                                    312.68     315.00     -2.32     
Oc1ccccc1O                                                   337.22     339.00     -1.78     
SCc1ccccc1                                                   375.58     361.00     14.58     
Sc1ccccc1                                                    335.76     337.00     -1.24     
