Smiles                                                       TCIT_S0    G4_S0      Dev       
CCCCCCCCCC                                                   559.29     558.03     1.26      
CCCCCCCCCCC                                                  601.16     591.95     9.21      
CCCCCCCCCCCC                                                 643.03     626.33     16.70     
CCCCCCCCCCO                                                  602.80     594.62     8.18      
CCCCCCCCCO                                                   560.94     554.40     6.53      
CCCCCCCCCl                                                   523.48     518.11     5.36      
CCCCCCCCO                                                    519.07     513.51     5.56      
CCCCCCCO                                                     477.20     472.86     4.35      
CCCCCCCS                                                     492.00     489.95     2.05      
CCCCCCO                                                      435.34     432.29     3.05      
CCCCCCS                                                      450.13     449.33     0.81      
CCCCCCl                                                      397.88     396.83     1.04      
CCCCCO                                                       393.47     392.03     1.44      
CCCCCSC                                                      453.56     452.09     1.47      
CCCCNCCCC                                                    512.65     513.95     -1.29     
CCCCOC                                                       391.73     391.79     -0.06     
CCCCOC(C)=O                                                  456.83     456.46     0.37      
CCCCOC=C                                                     414.93     418.87     -3.93     
CCCCOCC                                                      432.71     432.52     0.19      
CCCCOCCCC                                                    513.34     512.45     0.89      
CCCCSC                                                       411.69     411.92     -0.23     
CCCCSCCCC                                                    527.70     534.95     -7.25     
CCCC[C@@H](CC)CO                                             500.08     504.83     -4.75     
CCCCc1ccccc1                                                 449.63     445.08     4.55      
CCCNCC                                                       392.85     392.96     -0.10     
CCCNCCC                                                      433.04     433.23     -0.18     
CCCOCC                                                       392.20     392.10     0.10      
CCCOCCC                                                      432.31     431.78     0.54      
CCCSCCC                                                      446.53     453.85     -7.31     
CCC[S](=O)(=O)CCC                                            475.08     484.32     -9.24     
CCC\C=C/C                                                    378.79     381.80     -3.01     
CCC\C=C/CC                                                   424.27     419.82     4.44      
CCC\C=C/CCC                                                  464.95     459.38     5.57      
CCC\C=C\C                                                    378.79     378.57     0.22      
CCC\C=C\CC                                                   424.27     419.82     4.44      
CCCc1ccccc1                                                  407.76     404.18     3.57      
CCN1CCOCC1                                                   375.76     375.27     0.49      
CCNc1ccccc1                                                  396.52     396.86     -0.34     
CCOC(=O)C(=O)OCC                                             487.40     487.38     0.01      
CCOC(=O)CC                                                   414.17     412.50     1.67      
CCOC(=O)OCC                                                  431.23     439.31     -8.08     
CCOC(C)OCC                                                   455.14     454.71     0.43      
CCOCCOCC                                                     467.82     471.48     -3.66     
CCOCOCC                                                      421.41     427.33     -5.91     
CCOc1ccccc1                                                  396.53     392.22     4.31      
CCSSCC                                                       426.13     420.75     5.38      
CC\C=C(C)/CC                                                 416.01     413.97     2.05      
CC\C=C/CC                                                    383.59     377.33     6.27      
CC\C=C\CC                                                    383.59     380.45     3.14      
CCc1ccc(C)cc1                                                405.58     412.81     -7.22     
CCc1ccc(O)cc1                                                394.24     390.17     4.08      
CCc1cccc(C)c1                                                407.40     415.68     -8.27     
CCc1cccc(O)c1                                                397.13     390.00     7.13      
CCc1ccccc1                                                   366.66     367.03     -0.37     
CCc1ccccc1C                                                  403.65     390.97     12.68     
CCc1ccccc1O                                                  391.43     381.85     9.58      
CCc1cccnc1                                                   354.12     364.63     -10.50    
CCc1sccc1                                                    358.84     361.97     -3.13     
CN(C)c1ccccc1                                                388.90     391.92     -3.02     
