Smiles                                                       TCIT_Gf    G4_Gf      Dev       
CCCCCCCCC                                                    22.80      22.66      0.13      
CCCCCCCCC(O)=O                                               -319.74    -319.95    0.22      
CCCCCCCCCC                                                   30.28      27.91      2.37      
CCCCCCCCCCC                                                  37.77      36.23      1.54      
CCCCCCCCCCCC                                                 45.25      44.75      0.50      
CCCCCCCCCCO                                                  -102.14    -102.34    0.20      
CCCCCCCCCO                                                   -109.63    -109.47    -0.15     
CCCCCCCCCl                                                   -13.29     -14.40     1.12      
CCCCCCCCO                                                    -117.11    -117.79    0.68      
CCCCCCCO                                                     -124.60    -124.82    0.22      
CCCCCCCS                                                     36.18      36.31      -0.13     
CCCCCCO                                                      -132.08    -132.27    0.19      
CCCCCCS                                                      28.70      28.83      -0.13     
CCCCCCl                                                      -35.74     -35.22     -0.52     
CCCCCO                                                       -139.57    -139.33    -0.24     
CCCCCSC                                                      33.07      32.02      1.05      
CCCCNCCCC                                                    107.58     103.50     4.08      
CCCCOC                                                       -102.69    -103.06    0.37      
CCCCOC(C)=O                                                  -315.53    -315.93    0.40      
CCCCOC=C                                                     -29.32     -30.68     1.36      
CCCCOCC                                                      -107.87    -109.07    1.20      
CCCCOCCCC                                                    -90.75     -94.13     3.38      
CCCCSC                                                       25.58      24.58      1.00      
CCCCSCCCC                                                    48.57      44.01      4.56      
CCCC[C@@H](CC)CO                                             -113.76    -119.07    5.31      
CCCCc1ccccc1                                                 143.70     141.88     1.82      
CCCNCC                                                       80.88      81.08      -0.20     
CCCNCCC                                                      89.68      88.59      1.08      
CCCOCC                                                       -116.38    -116.46    0.08      
CCCOCCC                                                      -107.77    -109.17    1.40      
CCCSCCC                                                      31.94      29.61      2.33      
CCC[S](=O)(=O)CCC                                            -246.35    -252.33    5.97      
CCC\C=C/C                                                    80.20      83.95      -3.75     
CCC\C=C/CC                                                   87.90      87.71      0.18      
CCC\C=C/CCC                                                  95.44      94.83      0.61      
CCC\C=C\C                                                    80.20      79.92      0.28      
CCC\C=C\CC                                                   87.90      87.71      0.18      
CCCc1ccccc1                                                  136.22     134.25     1.97      
CCN1CCOCC1                                                   26.53      27.43      -0.90     
CCNc1ccccc1                                                  204.49     203.41     1.08      
